"","study_name","id","child_sex","child_religion","child_age","child_age_centered","school","standard","standard_num","sequence","question_type","language","speaker_gender","origin","religion","wealth","army_navy_language","coded_wealth","no_opinion_geo","no_opinion_religion","no_opinion_wealth","gujarat","india","foreign","richer","poorer","same","hindu","buddhist","muslim","jain","christian","geographic_origin"
"1","india-socioling","Z03C07","male","hindu",8.6,-2.00208487236313,"zenith",3,3,1,"associations","English (U.S.)","male","foreign","christian","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Foreign (Outside India)"
"2","india-socioling","Z05C10","male","muslim",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","India","hindu","same","english",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,"India (Different State)"
"3","india-socioling","Z03C04","male","muslim",9,-1.60208487236313,"zenith",3,3,1,"associations","English (U.S.)","male","idk","christian","richer","english",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"No Opinion"
"4","india-socioling","Z03C49","female","muslim",8,-2.60208487236313,"zenith",3,3,1,"associations","English (U.S.)","male","foreign","jain","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,"Foreign (Outside India)"
"5","india-socioling","Z05C06","male","other",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","India","idk","richer","english",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,"India (Different State)"
"6","india-socioling","Z05C45","female","hindu",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","foreign","hindu","same","english",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"Foreign (Outside India)"
"7","india-socioling","Z05C50","female","hindu",9.7,-0.90208487236313,"zenith",5,5,1,"associations","English (U.S.)","male","India","christian","richer","english",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,"India (Different State)"
"8","india-socioling","Z07A09","male",NA,12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","Gujarat","hindu","same","english",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"Gujarat (Same State)"
"9","india-socioling","Z07A10","male","muslim",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","India","christian","same","english",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"India (Different State)"
"10","india-socioling","Z07A12","male","hindu",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","India","christian","same","english",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"India (Different State)"
