"","study_name","school","id","standard","standard_num","child_age","child_age_centered","child_sex","child_religion","mother_tongue","home_language","friends_language","sequence","question_type","language","army_navy_language","presentation","speaker_gender","face","hindu_face","muslim_face","dravidian_face","asian_face","white_face","no_opinion_face"
"1","india-socioling","zenith","Z03C07",3,3,8.6,-2.00208487236313,"male","hindu","gujarat","gujarati","gujarat hindi",17,"faces","English (India)","english","audio","male","hindu",1,0,0,0,0,0
"2","india-socioling","zenith","Z05C10",5,5,10,-0.602084872363129,"male","muslim","gujarati, hindi, english","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","dravidian",0,0,1,0,0,0
"3","india-socioling","zenith","Z03C04",3,3,9,-1.60208487236313,"male","muslim","gujarati","gujarati","gujarati hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0
"4","india-socioling","zenith","Z03C49",3,3,8,-2.60208487236313,"female","muslim","gujarati","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0
"5","india-socioling","zenith","Z05C06",5,5,10,-0.602084872363129,"male","other","gujarati","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","asian",0,0,0,1,0,0
"6","india-socioling","zenith","Z05C45",5,5,10,-0.602084872363129,"female","hindu","gujarati","gujarati","hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0
"7","india-socioling","zenith","Z05C50",5,5,9.7,-0.90208487236313,"female","hindu","gujarati","gujarati","gujarati hindi",17,"faces","English (India)","english","audio","male","asian",0,0,0,1,0,0
"8","india-socioling","zenith","Z07A09",7,7,12,1.39791512763687,"male",NA,"gujarati","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","asian white",0,0,0,1,1,0
"9","india-socioling","zenith","Z07A10",7,7,13,2.39791512763687,"male","muslim","hindi","gujarati","hindi english gujarati",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0
"10","india-socioling","zenith","Z07A12",7,7,13,2.39791512763687,"male","hindu","hindi","gujarati","hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0
"11","india-socioling","zenith","Z07A13",7,7,12,1.39791512763687,"male",NA,"gujarati","gujarati","hindi",17,"faces","English (India)","english","audio","male","hindu white",1,0,0,0,1,0
"12","india-socioling","zenith","Z07A14",7,7,13,2.39791512763687,"male","hindu","gujarati","gujarati","hindi",17,"faces","English (India)","english","audio","male","asian",0,0,0,1,0,0
"13","india-socioling","zenith","Z07A40",7,7,12,1.39791512763687,"female","muslim","gujarati","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","hindu",1,0,0,0,0,0
"14","india-socioling","zenith","Z07A45",7,7,12,1.39791512763687,"female","muslim","gujarati","gujarati","gujarati",17,"faces","English (India)","english","audio","male","dravidian",0,0,1,0,0,0
"15","india-socioling","zenith","Z07A55",7,7,13,2.39791512763687,"female","hindu","gujarati","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0
"16","india-socioling","zenith","Z07A59",7,7,13,2.39791512763687,"female","hindu","gujarati","gujarati","gujarati hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0
