"","study_name","school","id","standard","standard_num","child_age","child_age_centered","child_sex","child_religion","mother_tongue","home_language","friends_language","sequence","question_type","language","army_navy_language","presentation","speaker_gender","face","hindu_face","muslim_face","dravidian_face","asian_face","white_face","no_opinion_face"
"1247","india-socioling","zenith","Z03C07","3",3,8.6,-2.00208487236313,"male","hindu","gujarat","gujarati","gujarat hindi",33,"faces","Mandarin","chinese","label","female","white",0,0,0,0,1,0
"1248","india-socioling","zenith","Z05C10","5",5,10,-0.602084872363129,"male","muslim","gujarati, hindi, english","gujarati","hindi gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1249","india-socioling","zenith","Z03C04","3",3,9,-1.60208487236313,"male","muslim","gujarati","gujarati","gujarati hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1250","india-socioling","zenith","Z03C49","3",3,8,-2.60208487236313,"female","muslim","gujarati","gujarati","hindi gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1251","india-socioling","zenith","Z05C06","5",5,10,-0.602084872363129,"male","other","gujarati","gujarati","hindi gujarati",33,"faces","Mandarin","chinese","label","female","white",0,0,0,0,1,0
"1252","india-socioling","zenith","Z05C45","5",5,10,-0.602084872363129,"female","hindu","gujarati","gujarati","hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1253","india-socioling","zenith","Z05C50","5",5,9.7,-0.90208487236313,"female","hindu","gujarati","gujarati","gujarati hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1254","india-socioling","zenith","Z07A09","7",7,12,1.39791512763687,"male",NA,"gujarati","gujarati","hindi gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1255","india-socioling","zenith","Z07A10","7",7,13,2.39791512763687,"male","muslim","hindi","gujarati","hindi english gujarati",33,"faces","Mandarin","chinese","label","female","asian white",0,0,0,1,1,0
"1256","india-socioling","zenith","Z07A12","7",7,13,2.39791512763687,"male","hindu","hindi","gujarati","hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1257","india-socioling","zenith","Z07A13","7",7,12,1.39791512763687,"male",NA,"gujarati","gujarati","hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1258","india-socioling","zenith","Z07A14","7",7,13,2.39791512763687,"male","hindu","gujarati","gujarati","hindi",33,"faces","Mandarin","chinese","label","female","white",0,0,0,0,1,0
"1259","india-socioling","zenith","Z07A40","7",7,12,1.39791512763687,"female","muslim","gujarati","gujarati","hindi gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1260","india-socioling","zenith","Z07A45","7",7,12,1.39791512763687,"female","muslim","gujarati","gujarati","gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1261","india-socioling","zenith","Z07A55","7",7,13,2.39791512763687,"female","hindu","gujarati","gujarati","hindi gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1262","india-socioling","zenith","Z07A59","7",7,13,2.39791512763687,"female","hindu","gujarati","gujarati","gujarati hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1263","india-socioling","zenith","Z07B03","7",7,12,1.39791512763687,"male","hindu","gujarati","gujarati","gujarati hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1264","india-socioling","zenith","Z07B11","7",7,13,2.39791512763687,"male","other","gujarati","gujarati","gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1265","india-socioling","zenith","Z07B21","7",7,13,2.39791512763687,"male","muslim","gujarati","gujarati","hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1266","india-socioling","zenith","Z07B38","7",7,13,2.39791512763687,"female","hindu","marathi","gujarati","hindi english gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1267","india-socioling","zenith","Z07B48","7",7,12,1.39791512763687,"female","muslim","gujarati","gujarati","hindi gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1268","india-socioling","zenith","Z05B11","5",5,11,0.397915127636871,"male","hindu","gujarati","gujarati english","gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1269","india-socioling","zenith","Z05B55","5",5,10,-0.602084872363129,"female","muslim","gujarati","gujarati english","hindi english",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1270","india-socioling","zenith","Z05B12","5",5,11,0.397915127636871,"male","muslim","hindi, gujarati","gujarati english hindi","gujarati hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1271","india-socioling","zenith","Z05B19","5",5,11,0.397915127636871,"male","hindu","gujarati","gujarati english hindi","english gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1272","india-socioling","zenith","Z07A05","7",7,12,1.39791512763687,"male","muslim","gujarati","gujarati hindi","gujarati hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1273","india-socioling","zenith","Z05B17","5",5,10,-0.602084872363129,"male","hindu","gujarati","gujarati hindi english","hindi gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1274","india-socioling","zenith","Z07A42","7",7,12,1.39791512763687,"female","hindu","gujarati","gujarati hindi sindhi","hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1275","india-socioling","zenith","Z07B39","7",7,12,1.39791512763687,"female","hindu","gujarati","gujarati polish","hindi gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1276","india-socioling","zenith","Z05C44","5",5,10,-0.602084872363129,"female","hindu","hindi","hind english gujarati","hind english gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1277","india-socioling","zenith","Z03C01","3",3,8.36827956989247,-2.23380530247066,"male","muslim","hindi","hindi","hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1278","india-socioling","zenith","Z03C02","3",3,7.8,-2.80208487236313,"male","muslim","hindi","hindi","hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1279","india-socioling","zenith","Z03C43","3",3,8,-2.60208487236313,"female","muslim","hindi","hindi","hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1280","india-socioling","zenith","Z03C44","3",3,8.7,-1.90208487236313,"female","hindu","hindi","hindi","hindi gujarati",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1281","india-socioling","zenith","Z03C46","3",3,7.8,-2.80208487236313,"female","muslim","hindi","hindi","hindi",33,"faces","Mandarin","chinese","label","female","white",0,0,0,0,1,0
"1282","india-socioling","zenith","Z05B05","5",5,10,-0.602084872363129,"male","muslim","hindi","hindi","hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
"1283","india-socioling","zenith","Z05B20","5",5,10,-0.602084872363129,"male","muslim","hindi","hindi","hindi",33,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0
