"","school","standard","child_age","child_sex","child_religion"
"1","",NA,NA,"",""
"2","zenith",3,8.18548387096774,"male","muslim"
"3","zenith",3,8.45698924731183,"male","muslim"
"4","zenith",3,7.69623655913978,"male","muslim"
"5","zenith",3,7.91129032258065,"female","hindu"
"6","zenith",3,8.25537634408602,"female","hindu"
"7","zenith",3,8.20698924731183,"female","other"
"8","zenith",3,8.13440860215054,"female","muslim"
"9","zenith",3,8.36827956989247,"male","muslim"
"10","zenith",3,7.75806451612903,"male","muslim"
"11","zenith",3,9,"male","muslim"
"12","zenith",3,8,"male","muslim"
"13","zenith",3,8.6,"male","hindu"
"14","zenith",3,8,"male","muslim"
"15","zenith",3,8.4,"male","hindu"
"16","zenith",3,8.1,"male","hindu"
"17","zenith",3,8.3,"male","hindu"
"18","zenith",3,8.6,"male","hindu"
"19","zenith",3,8.4,"male","muslim"
"20","zenith",3,8,"female","muslim"
"21","zenith",3,8.7,"female","hindu"
"22","zenith",3,7.8,"female","muslim"
"23","zenith",3,8.3,"female","hindu"
"24","zenith",3,7.9,"female","hindu"
"25","zenith",3,8,"female","muslim"
"26","zenith",3,8,"female","muslim"
"27","zenith",3,8.3,"female","muslim"
"28","zenith",3,8.5,"female","muslim"
"29","zenith",5,10,"male","hindu"
"30","zenith",5,10,"male","hindu"
"31","zenith",5,10,"male","hindu"
"32","zenith",5,11,"male","hindu"
"33","zenith",5,10,"male","hindu"
"34","zenith",5,11,"male","muslim"
"35","zenith",5,10,"male","muslim"
"36","zenith",5,11,"male","hindu"
"37","zenith",5,11,"male","muslim"
"38","zenith",5,9.8,"male","muslim"
"39","zenith",5,10,"female","other"
"40","zenith",5,10,"female","hindu"
"41","zenith",5,10,"female","hindu"
"42","zenith",5,10,"female","hindu"
"43","zenith",5,11,"female","muslim"
"44","zenith",5,9.9,"female","hindu"
"45","zenith",5,11,"female","hindu"
"46","zenith",5,10,"female","hindu"
"47","zenith",5,11,"female","muslim"
"48","zenith",5,10,"female","hindu"
"49","zenith",5,10,"female","hindu"
"50","zenith",5,10,"female","hindu"
"51","zenith",5,10,"male","hindu"
"52","zenith",5,10,"male","hindu"
"53","zenith",5,10,"male","muslim"
"54","zenith",5,11,"male","hindu"
"55","zenith",5,11,"male","muslim"
"56","zenith",5,11,"male","muslim"
"57","zenith",5,10,"male","hindu"
"58","zenith",5,11,"male","hindu"
"59","zenith",5,10,"male","muslim"
"60","zenith",5,11,"male","muslim"
"61","zenith",5,11,"female","muslim"
"62","zenith",5,10,"female","muslim"
"63","zenith",5,10,"female","hindu"
"64","zenith",5,10,"female","hindu"
"65","zenith",5,10,"female","hindu"
"66","zenith",5,9.8,"female","muslim"
"67","zenith",5,10,"female","muslim"
"68","zenith",5,11,"female","muslim"
"69","zenith",5,10,"female","hindu"
"70","zenith",5,10,"male","hindu"
"71","zenith",5,10,"male","hindu"
"72","zenith",5,10,"male","other"
"73","zenith",5,11,"male","muslim"
"74","zenith",5,10,"male","hindu"
"75","zenith",5,10,"male","muslim"
"76","zenith",5,10,"female","hindu"
"77","zenith",5,10,"female","hindu"
"78","zenith",5,10,"female","muslim"
"79","zenith",5,10,"female","muslim"
"80","zenith",5,10,"female","hindu"
"81","zenith",5,9.7,"female","hindu"
"82","zenith",5,10,"female","muslim"
"83","zenith",5,10,"female","muslim"
"84","zenith",7,12,"male","hindu"
"85","zenith",7,12,"male","hindu"
"86","zenith",7,12,"male","hindu"
"87","zenith",7,12,"male","muslim"
"88","zenith",7,13,"male","hindu"
"89","zenith",7,12,"male",NA
"90","zenith",7,13,"male","muslim"
"91","zenith",7,13,"male","hindu"
"92","zenith",7,13,"male","hindu"
"93","zenith",7,12,"male",NA
"94","zenith",7,13,"male","hindu"
"95","zenith",7,12,"male","muslim"
"96","zenith",7,12,"male","muslim"
"97","zenith",7,12,"male","muslim"
"98","zenith",7,12,"male","muslim"
"99","zenith",7,12,"male","hindu"
"100","zenith",7,12,"female","hindu"
"101","zenith",7,12,"female","muslim"
"102","zenith",7,12,"female","hindu"
"103","zenith",7,12,"female","hindu"
"104","zenith",7,12,"female","muslim"
"105","zenith",7,12,"female","muslim"
"106","zenith",7,12,"female","muslim"
"107","zenith",7,13,"female","hindu"
"108","zenith",7,12,"female","muslim"
"109","zenith",7,13,"female","muslim"
"110","zenith",7,13,"female","muslim"
"111","zenith",7,13,"female","hindu"
"112","zenith",7,13,"female","hindu"
"113","zenith",7,12,"female","hindu"
"114","zenith",7,13,"female","hindu"
"115","zenith",7,12,"male","hindu"
"116","zenith",7,12,"male","muslim"
"117","zenith",7,13,"male","hindu"
"118","zenith",7,13,"male","hindu"
"119","zenith",7,12,"male","hindu"
"120","zenith",7,13,"male","other"
"121","zenith",7,13,"male","muslim"
"122","zenith",7,13,"male","muslim"
"123","zenith",7,13,"female","hindu"
"124","zenith",7,12,"female","hindu"
"125","zenith",7,12,"female","hindu"
"126","zenith",7,12,"female","muslim"
"127","zenith",7,12,"female","muslim"
"128","zenith",7,12,"female","hindu"
"129","zenith",7,12,"female","muslim"
"130","zenith",7,13,"female","muslim"
