"","id","language","correct","id_correct"
"1","Z03C07","Marathi",0,0
"2","Z05C10","Marathi",0,0
"3","Z03C04","Marathi",0,0
"4","Z03C49","Marathi",0,0
"5","Z05C06","Marathi",0,0
"6","Z05C45","Marathi",0,0
"7","Z05C50","Marathi",0,0
"8","Z07A09","Marathi",0,0
"9","Z07A10","Marathi",1,1
"10","Z07A12","Marathi",1,1
"11","Z07A13","Marathi",1,1
"12","Z07A14","Marathi",1,1
"13","Z07A40","Marathi",0,0
"14","Z07A45","Marathi",1,1
"15","Z07A55","Marathi",1,1
"16","Z07A59","Marathi",1,1
"17","Z07B03","Marathi",1,1
"18","Z07B11","Marathi",0,0
"19","Z07B21","Marathi",1,1
"20","Z07B38","Marathi",1,1
"21","Z07B48","Marathi",1,1
"22","Z05B11","Marathi",1,1
"23","Z05B55","Marathi",1,1
"24","Z05B12","Marathi",1,1
"25","Z05B19","Marathi",1,1
"26","Z07A05","Marathi",1,1
"27","Z05B17","Marathi",1,1
"28","Z07A42","Marathi",0,0
"29","Z07B39","Marathi",1,1
"30","Z05C44","Marathi",1,1
"31","Z03C01","Marathi",0,0
"32","Z03C02","Marathi",0,0
"33","Z03C43","Marathi",0,0
"34","Z03C44","Marathi",1,1
"35","Z03C46","Marathi",1,1
"36","Z05B05","Marathi",0,0
"37","Z05B20","Marathi",1,1
"38","Z05C48","Marathi",0,0
"39","Z05C56","Marathi",1,1
"40","Z07A11","Marathi",1,1
"41","Z07A16","Marathi",0,0
"42","Z07A18","Marathi",1,1
"43","Z07A19","Marathi",1,1
"44","Z07A20","Marathi",1,1
"45","Z07A21","Marathi",1,1
"46","Z07A41","Marathi",1,1
"47","Z07A43","Marathi",1,1
"48","Z07A46","Marathi",1,1
"49","Z07A48","Marathi",1,1
"50","Z07A51","Marathi",0,0
"51","Z07A56","Marathi",1,1
"52","Z07A58","Marathi",1,1
"53","Z07B05","Marathi",1,1
"54","Z07B12","Marathi",0,0
"55","Z07B41","Marathi",1,1
"56","Z07B55","Marathi",1,1
"57","Z07A02","Marathi",0,0
"58","Z05C46","Marathi",1,1
"59","Z07A39","Marathi",1,1
"60","Z07A50","Marathi",1,1
"61","Z03C47","Marathi",1,1
"62","Z07B06","Marathi",1,1
"63","Z05B56","Marathi",1,1
"64","Z03C48","Marathi",0,0
"65","Z03C10","Marathi",1,1
"66","Z03C14","Marathi",0,0
"67","Z05B62","Marathi",1,1
"68","Z05C04","Marathi",1,1
"69","Z05C09","Marathi",1,1
"70","Z05C49","Marathi",1,1
"71","Z07A01","Marathi",1,1
"72","Z07A04","Marathi",1,1
"73","Z07A06","Marathi",1,1
"74","Z07A47","Marathi",1,1
"75","Z07B08","Marathi",1,1
"76","Z07B40","Marathi",1,1
"77","Z07B43","Marathi",1,1
"78","Z07B07","Marathi",1,1
"79","Z05B49","Marathi",NA,NA
"80","Z05B32","Marathi",NA,NA
"81","Z03C07","English (U.S.)",1,1
"82","Z05C10","English (U.S.)",1,1
"83","Z03C04","English (U.S.)",1,1
"84","Z03C49","English (U.S.)",1,1
"85","Z05C06","English (U.S.)",1,1
"86","Z05C45","English (U.S.)",1,1
"87","Z05C50","English (U.S.)",1,1
"88","Z07A09","English (U.S.)",1,1
"89","Z07A10","English (U.S.)",1,1
"90","Z07A12","English (U.S.)",1,1
"91","Z07A13","English (U.S.)",1,1
"92","Z07A14","English (U.S.)",1,1
"93","Z07A40","English (U.S.)",1,1
"94","Z07A45","English (U.S.)",1,1
"95","Z07A55","English (U.S.)",1,1
"96","Z07A59","English (U.S.)",1,1
"97","Z07B03","English (U.S.)",1,1
"98","Z07B11","English (U.S.)",1,1
"99","Z07B21","English (U.S.)",1,1
"100","Z07B38","English (U.S.)",1,1
"101","Z07B48","English (U.S.)",1,1
"102","Z05B11","English (U.S.)",1,1
"103","Z05B55","English (U.S.)",1,1
"104","Z05B12","English (U.S.)",1,1
"105","Z05B19","English (U.S.)",1,1
"106","Z07A05","English (U.S.)",1,1
"107","Z05B17","English (U.S.)",1,1
"108","Z07A42","English (U.S.)",1,1
"109","Z07B39","English (U.S.)",1,1
"110","Z05C44","English (U.S.)",1,1
"111","Z03C01","English (U.S.)",1,1
"112","Z03C02","English (U.S.)",0,0
"113","Z03C43","English (U.S.)",1,1
"114","Z03C44","English (U.S.)",1,1
"115","Z03C46","English (U.S.)",1,1
"116","Z05B05","English (U.S.)",1,1
"117","Z05B20","English (U.S.)",1,1
"118","Z05C48","English (U.S.)",1,1
"119","Z05C56","English (U.S.)",1,1
"120","Z07A11","English (U.S.)",1,1
"121","Z07A16","English (U.S.)",1,1
"122","Z07A18","English (U.S.)",1,1
"123","Z07A19","English (U.S.)",1,1
"124","Z07A20","English (U.S.)",1,1
"125","Z07A21","English (U.S.)",1,1
"126","Z07A41","English (U.S.)",1,1
"127","Z07A43","English (U.S.)",1,1
"128","Z07A46","English (U.S.)",0,0
"129","Z07A48","English (U.S.)",1,1
"130","Z07A51","English (U.S.)",1,1
"131","Z07A56","English (U.S.)",1,1
"132","Z07A58","English (U.S.)",1,1
"133","Z07B05","English (U.S.)",0,0
"134","Z07B12","English (U.S.)",1,1
"135","Z07B41","English (U.S.)",1,1
"136","Z07B55","English (U.S.)",1,1
"137","Z07A02","English (U.S.)",1,1
"138","Z05C46","English (U.S.)",1,1
"139","Z07A39","English (U.S.)",1,1
"140","Z07A50","English (U.S.)",1,1
"141","Z03C47","English (U.S.)",1,1
"142","Z07B06","English (U.S.)",1,1
"143","Z05B56","English (U.S.)",1,1
"144","Z03C48","English (U.S.)",1,1
"145","Z03C10","English (U.S.)",1,1
"146","Z03C14","English (U.S.)",1,1
"147","Z05B62","English (U.S.)",1,1
"148","Z05C04","English (U.S.)",1,1
"149","Z05C09","English (U.S.)",1,1
"150","Z05C49","English (U.S.)",1,1
"151","Z07A01","English (U.S.)",1,1
"152","Z07A04","English (U.S.)",1,1
"153","Z07A06","English (U.S.)",1,1
"154","Z07A47","English (U.S.)",1,1
"155","Z07B08","English (U.S.)",1,1
"156","Z07B40","English (U.S.)",1,1
"157","Z07B43","English (U.S.)",1,1
"158","Z07B07","English (U.S.)",0,0
"159","Z05B49","English (U.S.)",NA,NA
"160","Z05B32","English (U.S.)",NA,NA
"161","Z03C07","Hindi",0,0
"162","Z05C10","Hindi",1,1
"163","Z03C04","Hindi",1,1
"164","Z03C49","Hindi",1,1
"165","Z05C06","Hindi",1,1
"166","Z05C45","Hindi",1,1
"167","Z05C50","Hindi",1,1
"168","Z07A09","Hindi",1,1
"169","Z07A10","Hindi",1,1
"170","Z07A12","Hindi",1,1
"171","Z07A13","Hindi",1,1
"172","Z07A14","Hindi",1,1
"173","Z07A40","Hindi",1,1
"174","Z07A45","Hindi",1,1
"175","Z07A55","Hindi",1,1
"176","Z07A59","Hindi",1,1
"177","Z07B03","Hindi",1,1
"178","Z07B11","Hindi",0,0
"179","Z07B21","Hindi",1,1
"180","Z07B38","Hindi",1,1
"181","Z07B48","Hindi",1,1
"182","Z05B11","Hindi",1,1
"183","Z05B55","Hindi",1,1
"184","Z05B12","Hindi",1,1
"185","Z05B19","Hindi",1,1
"186","Z07A05","Hindi",1,1
"187","Z05B17","Hindi",1,1
"188","Z07A42","Hindi",1,1
"189","Z07B39","Hindi",1,1
"190","Z05C44","Hindi",1,1
"191","Z03C01","Hindi",1,1
"192","Z03C02","Hindi",0,0
"193","Z03C43","Hindi",0,0
"194","Z03C44","Hindi",1,1
"195","Z03C46","Hindi",1,1
"196","Z05B05","Hindi",1,1
"197","Z05B20","Hindi",1,1
"198","Z05C48","Hindi",0,0
"199","Z05C56","Hindi",1,1
"200","Z07A11","Hindi",1,1
"201","Z07A16","Hindi",1,1
"202","Z07A18","Hindi",1,1
"203","Z07A19","Hindi",1,1
"204","Z07A20","Hindi",1,1
"205","Z07A21","Hindi",0,0
"206","Z07A41","Hindi",1,1
"207","Z07A43","Hindi",1,1
"208","Z07A46","Hindi",1,1
"209","Z07A48","Hindi",1,1
"210","Z07A51","Hindi",0,0
"211","Z07A56","Hindi",1,1
