"","id","standard","standard_num","child_age_centered","child_sex","child_religion","language","face","rating","no_opinion_face","no_opinion_face_hindu","no_opinion_face_muslim","no_opinion_face_dravidian","no_opinion_face_asian","no_opinion_face_white"
"1","Z03C02","3",3,-2.80208487236313,"male","muslim","""English""","hindu",2,0,0,0,0,NA,NA
"2","Z03C43","3",3,-2.60208487236313,"female","muslim","""English""","hindu",2,0,0,0,0,NA,NA
"3","Z03C44","3",3,-1.90208487236313,"female","hindu","""English""","hindu",1,0,0,0,0,NA,NA
"4","Z03C47","3",3,-2.30208487236313,"female","hindu","""English""","hindu",1,0,0,0,0,NA,NA
"5","Z03C48","3",3,-2.70208487236313,"female","hindu","""English""","hindu",1,0,0,0,0,NA,NA
"6","Z03C10","3",3,-2.20208487236313,"male","hindu","""English""","hindu",1,0,0,0,0,NA,NA
"7","Z03C14","3",3,-2.50208487236313,"male","hindu","""English""","hindu",2,0,0,0,0,NA,NA
"8","Z03C07","3",3,-2.00208487236313,"male","hindu","""Chinese""","hindu",1,0,0,0,0,NA,NA
"9","Z03C01","3",3,-2.23380530247066,"male","muslim","""Chinese""","hindu",1,0,0,0,0,NA,NA
"10","Z03C02","3",3,-2.80208487236313,"male","muslim","""Chinese""","hindu",2,0,0,0,0,NA,NA
"11","Z03C43","3",3,-2.60208487236313,"female","muslim","""Chinese""","hindu",1,0,0,0,0,NA,NA
"12","Z03C46","3",3,-2.80208487236313,"female","muslim","""Chinese""","hindu",2,0,0,0,0,NA,NA
"13","Z03C47","3",3,-2.30208487236313,"female","hindu","""Chinese""","hindu",1,0,0,0,0,NA,NA
"14","Z03C10","3",3,-2.20208487236313,"male","hindu","""Chinese""","hindu",1,0,0,0,0,NA,NA
"15","Z03C07","3",3,-2.00208487236313,"male","hindu","""Hindi""","hindu",1,0,0,0,0,NA,NA
"16","Z03C04","3",3,-1.60208487236313,"male","muslim","""Hindi""","hindu",2,0,0,0,0,NA,NA
"17","Z03C01","3",3,-2.23380530247066,"male","muslim","""Hindi""","hindu",2,0,0,0,0,NA,NA
"18","Z03C02","3",3,-2.80208487236313,"male","muslim","""Hindi""","hindu",1,0,0,0,0,NA,NA
"19","Z03C43","3",3,-2.60208487236313,"female","muslim","""Hindi""","hindu",1,0,0,0,0,NA,NA
"20","Z03C44","3",3,-1.90208487236313,"female","hindu","""Hindi""","hindu",2,0,0,0,0,NA,NA
"21","Z03C47","3",3,-2.30208487236313,"female","hindu","""Hindi""","hindu",2,0,0,0,0,NA,NA
"22","Z03C48","3",3,-2.70208487236313,"female","hindu","""Hindi""","hindu",2,0,0,0,0,NA,NA
"23","Z03C10","3",3,-2.20208487236313,"male","hindu","""Hindi""","hindu",2,0,0,0,0,NA,NA
"24","Z03C14","3",3,-2.50208487236313,"male","hindu","""Hindi""","hindu",2,0,0,0,0,NA,NA
"25","Z03C07","3",3,-2.00208487236313,"male","hindu","""Tamil""","hindu",2,0,0,0,0,NA,NA
"26","Z03C04","3",3,-1.60208487236313,"male","muslim","""Tamil""","hindu",1,0,0,0,0,NA,NA
"27","Z03C01","3",3,-2.23380530247066,"male","muslim","""Tamil""","hindu",2,0,0,0,0,NA,NA
"28","Z03C02","3",3,-2.80208487236313,"male","muslim","""Tamil""","hindu",1,0,0,0,0,NA,NA
"29","Z03C43","3",3,-2.60208487236313,"female","muslim","""Tamil""","hindu",1,0,0,0,0,NA,NA
"30","Z03C44","3",3,-1.90208487236313,"female","hindu","""Tamil""","hindu",1,0,0,0,0,NA,NA
"31","Z03C47","3",3,-2.30208487236313,"female","hindu","""Tamil""","hindu",1,0,0,0,0,NA,NA
"32","Z03C48","3",3,-2.70208487236313,"female","hindu","""Tamil""","hindu",2,0,0,0,0,NA,NA
"33","Z03C10","3",3,-2.20208487236313,"male","hindu","""Tamil""","hindu",2,0,0,0,0,NA,NA
"34","Z03C14","3",3,-2.50208487236313,"male","hindu","""Tamil""","hindu",1,0,0,0,0,NA,NA
"35","Z03C07","3",3,-2.00208487236313,"male","hindu","""Gujarati""","hindu",2,0,0,0,0,NA,NA
"36","Z03C04","3",3,-1.60208487236313,"male","muslim","""Gujarati""","hindu",2,0,0,0,0,NA,NA
"37","Z03C01","3",3,-2.23380530247066,"male","muslim","""Gujarati""","hindu",1,0,0,0,0,NA,NA
"38","Z03C02","3",3,-2.80208487236313,"male","muslim","""Gujarati""","hindu",1,0,0,0,0,NA,NA
"39","Z03C43","3",3,-2.60208487236313,"female","muslim","""Gujarati""","hindu",1,0,0,0,0,NA,NA
"40","Z03C44","3",3,-1.90208487236313,"female","hindu","""Gujarati""","hindu",2,0,0,0,0,NA,NA
"41","Z03C46","3",3,-2.80208487236313,"female","muslim","""Gujarati""","hindu",2,0,0,0,0,NA,NA
"42","Z03C47","3",3,-2.30208487236313,"female","hindu","""Gujarati""","hindu",1,0,0,0,0,NA,NA
"43","Z03C48","3",3,-2.70208487236313,"female","hindu","""Gujarati""","hindu",2,0,0,0,0,NA,NA
"44","Z03C10","3",3,-2.20208487236313,"male","hindu","""Gujarati""","hindu",2,0,0,0,0,NA,NA
"45","Z03C14","3",3,-2.50208487236313,"male","hindu","""Gujarati""","hindu",2,0,0,0,0,NA,NA
"46","Z03A51","3",3,-2.69079454978248,"female","hindu","""Gujarati""","hindu",1,0,0,0,0,0,0
"47","Z03A51","3",3,-2.69079454978248,"female","hindu","""English""","hindu",1,0,0,0,0,0,0
"48","Z03A59","3",3,-2.34670852827711,"female","hindu","""Gujarati""","hindu",2,0,0,0,0,0,0
"49","Z03A09","3",3,-2.1450956250513,"male","muslim","""Gujarati""","hindu",2,0,0,0,0,0,0
"50","Z03A59","3",3,-2.34670852827711,"female","hindu","""Hindi""","hindu",1,0,0,0,0,0,0
"51","Z03A09","3",3,-2.1450956250513,"male","muslim","""Hindi""","hindu",1,0,0,0,0,0,0
"52","Z03A59","3",3,-2.34670852827711,"female","hindu","""English""","hindu",1,0,0,0,0,0,0
"53","Z03A09","3",3,-2.1450956250513,"male","muslim","""English""","hindu",1,0,0,0,0,0,0
"54","Z03A09","3",3,-2.1450956250513,"male","muslim","""Chinese""","hindu",1,0,0,0,0,0,0
"55","Z03A09","3",3,-2.1450956250513,"male","muslim","""Tamil""","hindu",1,0,0,0,0,0,0
"56","Z03A16","3",3,-2.90584831322335,"male","muslim","""Gujarati""","hindu",2,1,0,1,0,0,0
"57","Z03A06","3",3,-2.41660100139539,"male","muslim","""Gujarati""","hindu",1,0,0,0,0,0,0
"58","Z03A60","3",3,-2.3950956250513,"female","other","""Gujarati""","hindu",2,0,0,0,0,NA,NA
"59","Z03A06","3",3,-2.41660100139539,"male","muslim","""Hindi""","hindu",2,0,0,0,0,0,0
"60","Z03A60","3",3,-2.3950956250513,"female","other","""Hindi""","hindu",2,0,0,0,0,0,0
"61","Z03A16","3",3,-2.90584831322335,"male","muslim","""English""","hindu",1,1,0,1,0,0,0
"62","Z03A06","3",3,-2.41660100139539,"male","muslim","""English""","hindu",1,0,0,0,0,0,0
"63","Z03A16","3",3,-2.90584831322335,"male","muslim","""Chinese""","hindu",1,1,0,1,0,0,0
"64","Z03A60","3",3,-2.3950956250513,"female","other","""Chinese""","hindu",2,1,0,0,1,0,0
"65","Z03A16","3",3,-2.90584831322335,"male","muslim","""Tamil""","hindu",1,0,0,0,0,NA,NA
"66","Z03A60","3",3,-2.3950956250513,"female","other","""Tamil""","hindu",2,1,0,0,1,0,0
"67","Z03C49","3",3,-2.60208487236313,"female","muslim","""English""","muslim",1,0,NA,0,0,NA,NA
"68","Z03A51","3",3,-2.69079454978248,"female","hindu","""Gujarati""","muslim",1,0,0,0,0,0,0
"69","Z03A51","3",3,-2.69079454978248,"female","hindu","""Marathi""","muslim",1,0,0,0,0,0,0
"70","Z03A59","3",3,-2.34670852827711,"female","hindu","""Gujarati""","muslim",1,0,0,0,0,0,0
"71","Z03A59","3",3,-2.34670852827711,"female","hindu","""Hindi""","muslim",2,0,0,0,0,0,0
"72","Z03A09","3",3,-2.1450956250513,"male","muslim","""Hindi""","muslim",1,0,0,0,0,0,0
"73","Z03A59","3",3,-2.34670852827711,"female","hindu","""English""","muslim",1,0,0,0,0,0,0
"74","Z03A09","3",3,-2.1450956250513,"male","muslim","""English""","muslim",2,0,0,0,0,0,0
"75","Z03A59","3",3,-2.34670852827711,"female","hindu","""Chinese""","muslim",1,0,0,0,0,0,0
"76","Z03A09","3",3,-2.1450956250513,"male","muslim","""Chinese""","muslim",2,0,0,0,0,0,0
"77","Z03A06","3",3,-2.41660100139539,"male","muslim","""Gujarati""","muslim",2,0,0,0,0,0,0
"78","Z03A60","3",3,-2.3950956250513,"female","other","""Gujarati""","muslim",1,0,0,0,0,NA,NA
"79","Z03A16","3",3,-2.90584831322335,"male","muslim","""Hindi""","muslim",2,0,0,0,0,0,0
"80","Z03A06","3",3,-2.41660100139539,"male","muslim","""Hindi""","muslim",1,0,0,0,0,0,0
"81","Z03A60","3",3,-2.3950956250513,"female","other","""Hindi""","muslim",1,0,0,0,0,0,0
"82","Z03A06","3",3,-2.41660100139539,"male","muslim","""English""","muslim",1,0,0,0,0,0,0
"83","Z03A60","3",3,-2.3950956250513,"female","other","""Chinese""","muslim",1,1,0,0,1,0,0
"84","Z03C49","3",3,-2.60208487236313,"female","muslim","""Hindi""","dravidian",1,0,NA,0,0,NA,NA
"85","Z03C49","3",3,-2.60208487236313,"female","muslim","""Tamil""","dravidian",1,0,NA,0,0,NA,NA
"86","Z03A51","3",3,-2.69079454978248,"female","hindu","""English""","dravidian",2,0,0,0,0,0,0
"87","Z03A51","3",3,-2.69079454978248,"female","hindu","""Marathi""","dravidian",2,0,0,0,0,0,0
"88","Z03A09","3",3,-2.1450956250513,"male","muslim","""Gujarati""","dravidian",2,0,0,0,0,0,0
"89","Z03A09","3",3,-2.1450956250513,"male","muslim","""Hindi""","dravidian",2,0,0,0,0,0,0
"90","Z03A59","3",3,-2.34670852827711,"female","hindu","""English""","dravidian",2,0,0,0,0,0,0
"91","Z03A09","3",3,-2.1450956250513,"male","muslim","""Tamil""","dravidian",1,0,0,0,0,0,0
"92","Z03A06","3",3,-2.41660100139539,"male","muslim","""Gujarati""","dravidian",1,0,0,0,0,0,0
"93","Z03A06","3",3,-2.41660100139539,"male","muslim","""Hindi""","dravidian",2,0,0,0,0,0,0
"94","Z03A60","3",3,-2.3950956250513,"female","other","""Hindi""","dravidian",1,0,0,0,0,0,0
"95","Z03A16","3",3,-2.90584831322335,"male","muslim","""English""","dravidian",1,1,0,1,0,0,0
"96","Z03A06","3",3,-2.41660100139539,"male","muslim","""English""","dravidian",2,0,0,0,0,0,0
"97","Z03A60","3",3,-2.3950956250513,"female","other","""English""","dravidian",1,1,1,0,0,0,0
"98","Z03A06","3",3,-2.41660100139539,"male","muslim","""Chinese""","dravidian",1,0,0,0,0,0,0
"99","Z03A06","3",3,-2.41660100139539,"male","muslim","""Tamil""","dravidian",2,0,0,0,0,0,0
"100","Z03A51","3",3,-2.69079454978248,"female","hindu","""Hindi""","asian",2,0,0,0,0,0,0
"101","Z03A51","3",3,-2.69079454978248,"female","hindu","""Marathi""","asian",2,0,0,0,0,0,0
"102","Z03A09","3",3,-2.1450956250513,"male","muslim","""Gujarati""","asian",1,0,0,0,0,0,0
"103","Z03A59","3",3,-2.34670852827711,"female","hindu","""Hindi""","asian",1,0,0,0,0,0,0
