"","id","standard","standard_num","child_age_centered","child_sex","child_religion","question_type","response","why"
"1","Z03C07","3",1,-2.04670294699073,"male","hindu","ancestors",4,"because they speak many laguages "
"2","Z05C10","5",2,-0.646702946990732,"male","muslim","ancestors",3,"because I don't know who speak language"
"3","Z03C04","3",1,-1.64670294699073,"male","muslim","ancestors",3,"because they will have and easy"
"4","Z03C49","3",1,-2.64670294699073,"female","muslim","ancestors",4,"because it is some we can try to do it"
"5","Z05C06","5",2,-0.646702946990732,"male","other","ancestors",5,"because her language is same"
"6","Z05C45","5",2,-0.646702946990732,"female","hindu","ancestors",4,"because they know but we don't spoken o we will know very well"
"7","Z05C50","5",2,-0.946702946990733,"female","hindu","ancestors",4,""
"8","Z07A09","7",3,1.35329705300927,"male",NA,"ancestors",5,"because my family members also speak that language"
"9","Z07A10","7",3,2.35329705300927,"male","muslim","ancestors",3,"because we want to learn it and we have to concentrate"
"10","Z07A12","7",3,2.35329705300927,"male","hindu","ancestors",1,"because I don't understand these language"
"11","Z07A13","7",3,1.35329705300927,"male",NA,"ancestors",5,"because my ancestors speak gujarati language and today I also speak gujarati language"
"12","Z07A14","7",3,2.35329705300927,"male","hindu","ancestors",3,"because ancestors language not understand"
"13","Z07A40","7",3,1.35329705300927,"female","muslim","ancestors",5,"because I want to learn other language"
"14","Z07A40","7",3,1.35329705300927,"female","muslim","ancestors",5,"because i want to learn other language"
"15","Z07A45","7",3,1.35329705300927,"female","muslim","ancestors",2,"because in only one time to speak or tell from that we cannot understand the language"
"16","Z07A55","7",3,2.35329705300927,"female","hindu","ancestors",3,"it is easy and somehow not easy to learn that language"
"17","Z07A59","7",3,2.35329705300927,"female","hindu","ancestors",3,"I neither agree nore disagree because for me it is easy to learn that language from anyone. I can understand but it depends on the brain of the person"
"18","Z07B03","7",3,1.35329705300927,"male","hindu","ancestors",2,"because the language that we not understand that language was not easy for our"
"19","Z07B11","7",3,2.35329705300927,"male","other","ancestors",1,"because I disagree and I not spoken my ancestors' language"
