"","study_name","id","child_sex","child_religion","child_age","child_age_centered","school","standard","standard_num","sequence","question_type","language","speaker_gender","origin","religion","wealth","army_navy_language","coded_wealth","no_opinion_geo","no_opinion_religion","no_opinion_wealth","gujarat","india","foreign","richer","poorer","same","hindu","buddhist","muslim","jain","christian","geographic_origin"
"1","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,1,"associations","English (U.S.)","male","","","","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,2,"associations","Gujarati","male","","","","gujarati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,3,"associations","Urdu","male","","","","urdu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,4,"associations","Hindi","male","","","","hindi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,5,"associations","Mandarin","male","","","","chinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,6,"associations","Marathi","male","","","","marathi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,7,"associations","Tamil","male","","","","tamil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,8,"associations","English (India)","male","","","","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,9,"associations","Urdu","female","Gujarat","muslim","richer","urdu",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"Gujarat (Same State)"
"10","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,10,"associations","Gujarati","female","foreign","jain","poorer","gujarati",-1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,"Foreign (Outside India)"
"11","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,11,"associations","English (U.S.)","female","Gujarat","jain","richer","english",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"Gujarat (Same State)"
"12","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,12,"associations","Marathi","female","Gujarat","christian","poorer","marathi",-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"Gujarat (Same State)"
"13","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,13,"associations","Tamil","female","foreign","muslim","poorer","tamil",-1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,"Foreign (Outside India)"
"14","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,14,"associations","English (India)","female","Gujarat","jain","richer","english",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"Gujarat (Same State)"
"15","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,15,"associations","Hindi","female","Gujarat","muslim","richer","hindi",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"Gujarat (Same State)"
"16","india-socioling","Z03A06","male","muslim",8.18548387096774,-2.43815550041357,"zenith",3,3,16,"associations","Mandarin","female","Gujarat","hindu","poorer","chinese",-1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"Gujarat (Same State)"
"17","india-socioling","Z03A09","male","muslim",8.45698924731183,-2.16665012406948,"zenith",3,3,16,"associations","Urdu","female","foreign","muslim","poorer","urdu",-1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,"Foreign (Outside India)"
"18","india-socioling","Z03A09","male","muslim",8.45698924731183,-2.16665012406948,"zenith",3,3,17,"associations","Gujarati","female","India","hindu","richer","gujarati",1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"India (Different State)"
"19","india-socioling","Z03A09","male","muslim",8.45698924731183,-2.16665012406948,"zenith",3,3,18,"associations","English (U.S.)","female","Gujarat","christian","poorer","english",-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"Gujarat (Same State)"
"20","india-socioling","Z03A09","male","muslim",8.45698924731183,-2.16665012406948,"zenith",3,3,19,"associations","Marathi","female","India","jain","richer","marathi",1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,"India (Different State)"
"21","india-socioling","Z03A09","male","muslim",8.45698924731183,-2.16665012406948,"zenith",3,3,20,"associations","Tamil","female","foreign","christian","poorer","tamil",-1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"Foreign (Outside India)"
"22","india-socioling","Z03A09","male","muslim",8.45698924731183,-2.16665012406948,"zenith",3,3,21,"associations","English (India)","female","Gujarat","hindu","poorer","english",-1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"Gujarat (Same State)"
"23","india-socioling","Z03A09","male","muslim",8.45698924731183,-2.16665012406948,"zenith",3,3,22,"associations","Hindi","female","foreign","muslim","richer","hindi",1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"Foreign (Outside India)"
"24","india-socioling","Z03A09","male","muslim",8.45698924731183,-2.16665012406948,"zenith",3,3,23,"associations","Mandarin","female","India","christian","poorer","chinese",-1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,"India (Different State)"
"25","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,1,"associations","English (U.S.)","male","","","","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,2,"associations","Gujarati","male","","","","gujarati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,3,"associations","Urdu","male","","","","urdu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,4,"associations","Hindi","male","","","","hindi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,5,"associations","Mandarin","male","","","","chinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,6,"associations","Marathi","male","","","","marathi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,7,"associations","Tamil","male","","","","tamil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,8,"associations","English (India)","male","","","","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,9,"associations","Urdu","female","Gujarat","muslim","richer","urdu",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"Gujarat (Same State)"
"34","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,10,"associations","Gujarati","female","foreign","jain","idk","gujarati",NA,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"Foreign (Outside India)"
"35","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,11,"associations","English (U.S.)","female","India","christian","richer","english",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,"India (Different State)"
"36","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,12,"associations","Marathi","female","idk","christian","idk","marathi",NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"No Opinion"
"37","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,13,"associations","Tamil","female","India","idk","poorer","tamil",-1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,"India (Different State)"
"38","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,14,"associations","English (India)","female","Gujarat","idk","richer","english",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"Gujarat (Same State)"
"39","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,15,"associations","Hindi","female","Gujarat","hindu","idk","hindi",NA,0,0,1,1,0,0,0,0,0,1,0,0,0,0,"Gujarat (Same State)"
"40","india-socioling","Z03A16","male","muslim",7.69623655913978,-2.92740281224153,"zenith",3,3,16,"associations","Mandarin","female","idk","jain","poorer","chinese",-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"No Opinion"
"41","india-socioling","Z03A51","female","hindu",7.91129032258065,-2.71234904880066,"zenith",3,3,16,"associations","Urdu","female","foreign","muslim","richer","urdu",1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"Foreign (Outside India)"
"42","india-socioling","Z03A51","female","hindu",7.91129032258065,-2.71234904880066,"zenith",3,3,17,"associations","Gujarati","female","India","christian","richer","gujarati",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,"India (Different State)"
