"","study_name","school","id","standard","standard_num","child_age","child_age_centered","child_sex","child_religion","mother_tongue","home_language","friends_language","sequence","question_type","language","army_navy_language","presentation","speaker_gender","face","hindu_face","muslim_face","dravidian_face","asian_face","white_face","no_opinion_face","num_faces"
"1","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",17,"faces","Marathi","marathi","audio","male","hindu",1,0,0,0,0,0,1
"2","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",18,"faces","Urdu","urdu","audio","male","hindu",1,0,0,0,0,0,1
"3","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",19,"faces","English (India)","english","audio","male","muslim",0,1,0,0,0,0,1
"4","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",20,"faces","Hindi","hindi","audio","male","white",0,0,0,0,1,0,1
"5","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",21,"faces","Mandarin","chinese","audio","male","muslim",0,1,0,0,0,0,1
"6","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",22,"faces","Tamil","tamil","audio","male","white",0,0,0,0,1,0,1
"7","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",23,"faces","English (U.S.)","english","audio","male","muslim",0,1,0,0,0,0,1
"8","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",24,"faces","Gujarati","gujarati","audio","male","hindu",1,0,0,0,0,0,1
"9","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",25,"faces","Marathi","marathi","audio","female","white",0,0,0,0,1,0,1
"10","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",26,"faces","Urdu","urdu","audio","female","hindu",1,0,0,0,0,0,1
"11","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",27,"faces","English (India)","english","audio","female","dravidian",0,0,1,0,0,0,1
"12","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",28,"faces","Hindi","hindi","audio","female","hindu",1,0,0,0,0,0,1
"13","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",29,"faces","Mandarin","chinese","audio","female","",NA,NA,NA,NA,NA,0,NA
"14","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",30,"faces","Tamil","tamil","audio","female","muslim",0,1,0,0,0,0,1
"15","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",31,"faces","English (U.S.)","english","audio","female","asian",0,0,0,1,0,0,1
"16","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",32,"faces","Gujarati","gujarati","audio","female","dravidian",0,0,1,0,0,0,1
"17","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",33,"faces","Tamil","tamil","label","female","white",0,0,0,0,1,0,1
"18","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",34,"faces","Urdu","urdu","label","female","hindu",1,0,0,0,0,0,1
"19","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",35,"faces","Mandarin","chinese","label","female","dravidian",0,0,1,0,0,0,1
"20","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",36,"faces","Hindi","hindi","label","female","muslim",0,1,0,0,0,0,1
"21","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",37,"faces","Marathi","marathi","label","female","asian",0,0,0,1,0,0,1
"22","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",38,"faces","English","english","label","female","asian",0,0,0,1,0,0,1
"23","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",39,"faces","Gujarati","gujarati","label","female","hindu",1,0,0,0,0,0,1
"24","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",40,"faces","Tamil","tamil","label","male","asian",0,0,0,1,0,0,1
"25","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",41,"faces","Urdu","urdu","label","male","hindu",1,0,0,0,0,0,1
"26","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",42,"faces","Mandarin","chinese","label","male","dravidian",0,0,1,0,0,0,1
"27","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",43,"faces","Hindi","hindi","label","male","white",0,0,0,0,1,0,1
"28","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",44,"faces","Marathi","marathi","label","male","white",0,0,0,0,1,0,1
"29","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",45,"faces","English","english","label","male","muslim",0,1,0,0,0,0,1
