"","study_name","school","id","standard","standard_num","child_age","child_age_centered","child_sex","child_religion","mother_tongue","home_language","friends_language","sequence","question_type","language","army_navy_language","presentation","speaker_gender","face","hindu_face","muslim_face","dravidian_face","asian_face","white_face","no_opinion_face","num_faces"
"1","india-socioling","zenith","Z03C07","3",3,8.6,-2.00208487236313,"male","hindu","gujarat","gujarati","gujarat hindi",17,"faces","English (India)","english","audio","male","hindu",1,0,0,0,0,0,1
"2","india-socioling","zenith","Z05C10","5",5,10,-0.602084872363129,"male","muslim","gujarati, hindi, english","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","dravidian",0,0,1,0,0,0,1
"3","india-socioling","zenith","Z03C04","3",3,9,-1.60208487236313,"male","muslim","gujarati","gujarati","gujarati hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"4","india-socioling","zenith","Z03C49","3",3,8,-2.60208487236313,"female","muslim","gujarati","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"5","india-socioling","zenith","Z05C06","5",5,10,-0.602084872363129,"male","other","gujarati","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","asian",0,0,0,1,0,0,1
"6","india-socioling","zenith","Z05C45","5",5,10,-0.602084872363129,"female","hindu","gujarati","gujarati","hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"7","india-socioling","zenith","Z05C50","5",5,9.7,-0.90208487236313,"female","hindu","gujarati","gujarati","gujarati hindi",17,"faces","English (India)","english","audio","male","asian",0,0,0,1,0,0,1
"8","india-socioling","zenith","Z07A09","7",7,12,1.39791512763687,"male",NA,"gujarati","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","asian white",0,0,0,1,1,0,2
"9","india-socioling","zenith","Z07A10","7",7,13,2.39791512763687,"male","muslim","hindi","gujarati","hindi english gujarati",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"10","india-socioling","zenith","Z07A12","7",7,13,2.39791512763687,"male","hindu","hindi","gujarati","hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"11","india-socioling","zenith","Z07A13","7",7,12,1.39791512763687,"male",NA,"gujarati","gujarati","hindi",17,"faces","English (India)","english","audio","male","hindu white",1,0,0,0,1,0,2
"12","india-socioling","zenith","Z07A14","7",7,13,2.39791512763687,"male","hindu","gujarati","gujarati","hindi",17,"faces","English (India)","english","audio","male","asian",0,0,0,1,0,0,1
"13","india-socioling","zenith","Z07A40","7",7,12,1.39791512763687,"female","muslim","gujarati","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","hindu",1,0,0,0,0,0,1
"14","india-socioling","zenith","Z07A45","7",7,12,1.39791512763687,"female","muslim","gujarati","gujarati","gujarati",17,"faces","English (India)","english","audio","male","dravidian",0,0,1,0,0,0,1
"15","india-socioling","zenith","Z07A55","7",7,13,2.39791512763687,"female","hindu","gujarati","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"16","india-socioling","zenith","Z07A59","7",7,13,2.39791512763687,"female","hindu","gujarati","gujarati","gujarati hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"17","india-socioling","zenith","Z07B03","7",7,12,1.39791512763687,"male","hindu","gujarati","gujarati","gujarati hindi",17,"faces","English (India)","english","audio","male","hindu",1,0,0,0,0,0,1
"18","india-socioling","zenith","Z07B11","7",7,13,2.39791512763687,"male","other","gujarati","gujarati","gujarati",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"19","india-socioling","zenith","Z07B21","7",7,13,2.39791512763687,"male","muslim","gujarati","gujarati","hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"20","india-socioling","zenith","Z07B38","7",7,13,2.39791512763687,"female","hindu","marathi","gujarati","hindi english gujarati",17,"faces","English (India)","english","audio","male","hindu",1,0,0,0,0,0,1
"21","india-socioling","zenith","Z07B48","7",7,12,1.39791512763687,"female","muslim","gujarati","gujarati","hindi gujarati",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"22","india-socioling","zenith","Z05B11","5",5,11,0.397915127636871,"male","hindu","gujarati","gujarati english","gujarati",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"23","india-socioling","zenith","Z05B55","5",5,10,-0.602084872363129,"female","muslim","gujarati","gujarati english","hindi english",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"24","india-socioling","zenith","Z05B12","5",5,11,0.397915127636871,"male","muslim","hindi, gujarati","gujarati english hindi","gujarati hindi",17,"faces","English (India)","english","audio","male","muslim",0,1,0,0,0,0,1
"25","india-socioling","zenith","Z05B19","5",5,11,0.397915127636871,"male","hindu","gujarati","gujarati english hindi","english gujarati",17,"faces","English (India)","english","audio","male","dravidian",0,0,1,0,0,0,1
"26","india-socioling","zenith","Z07A05","7",7,12,1.39791512763687,"male","muslim","gujarati","gujarati hindi","gujarati hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"27","india-socioling","zenith","Z05B17","5",5,10,-0.602084872363129,"male","hindu","gujarati","gujarati hindi english","hindi gujarati",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"28","india-socioling","zenith","Z07A42","7",7,12,1.39791512763687,"female","hindu","gujarati","gujarati hindi sindhi","hindi",17,"faces","English (India)","english","audio","male","dravidian",0,0,1,0,0,0,1
"29","india-socioling","zenith","Z07B39","7",7,12,1.39791512763687,"female","hindu","gujarati","gujarati polish","hindi gujarati",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"30","india-socioling","zenith","Z05C44","5",5,10,-0.602084872363129,"female","hindu","hindi","hind english gujarati","hind english gujarati",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"31","india-socioling","zenith","Z03C01","3",3,8.36827956989247,-2.23380530247066,"male","muslim","hindi","hindi","hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"32","india-socioling","zenith","Z03C02","3",3,7.75806451612903,-2.8440203562341,"male","muslim","hindi","hindi","hindi",17,"faces","English (India)","english","audio","male","dravidian",0,0,1,0,0,0,1
"33","india-socioling","zenith","Z03C43","3",3,8,-2.60208487236313,"female","muslim","hindi","hindi","hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"34","india-socioling","zenith","Z03C44","3",3,8.7,-1.90208487236313,"female","hindu","hindi","hindi","hindi gujarati",17,"faces","English (India)","english","audio","male","dravidian",0,0,1,0,0,0,1
"35","india-socioling","zenith","Z03C46","3",3,7.8,-2.80208487236313,"female","muslim","hindi","hindi","hindi",17,"faces","English (India)","english","audio","male","hindu",1,0,0,0,0,0,1
"36","india-socioling","zenith","Z05B05","5",5,10,-0.602084872363129,"male","muslim","hindi","hindi","hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"37","india-socioling","zenith","Z05B20","5",5,10,-0.602084872363129,"male","muslim","hindi","hindi","hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"38","india-socioling","zenith","Z05C48","5",5,10,-0.602084872363129,"female","muslim","gujarati","hindi","english hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"39","india-socioling","zenith","Z05C56","5",5,10,-0.602084872363129,"female","muslim","hindi","hindi","hindi",17,"faces","English (India)","english","audio","male","dravidian",0,0,1,0,0,0,1
"40","india-socioling","zenith","Z07A11","7",7,13,2.39791512763687,"male","hindu","hindi","hindi","hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"41","india-socioling","zenith","Z07A16","7",7,12,1.39791512763687,"male","muslim","hindi, urdu","hindi","hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
"42","india-socioling","zenith","Z07A18","7",7,12,1.39791512763687,"male","muslim","hindi, gujarati","hindi","hindi",17,"faces","English (India)","english","audio","male","white",0,0,0,0,1,0,1
