"","study_name","school","id","standard","standard_num","child_age","child_age_centered","child_sex","child_religion","mother_tongue","home_language","friends_language","sequence","question_type","language","army_navy_language","presentation","speaker_gender","face","hindu_face","muslim_face","dravidian_face","asian_face","white_face","no_opinion_face","num_faces"
"16","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",33,"faces","Tamil","tamil","label","female","white",0,0,0,0,1,0,1
"17","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",34,"faces","Urdu","urdu","label","female","hindu",1,0,0,0,0,0,1
"18","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",35,"faces","Mandarin","chinese","label","female","dravidian",0,0,1,0,0,0,1
"19","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",36,"faces","Hindi","hindi","label","female","muslim",0,1,0,0,0,0,1
"20","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",37,"faces","Marathi","marathi","label","female","asian",0,0,0,1,0,0,1
"21","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",38,"faces","English","english","label","female","asian",0,0,0,1,0,0,1
"22","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",39,"faces","Gujarati","gujarati","label","female","hindu",1,0,0,0,0,0,1
"23","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",40,"faces","Tamil","tamil","label","male","asian",0,0,0,1,0,0,1
"24","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",41,"faces","Urdu","urdu","label","male","hindu",1,0,0,0,0,0,1
"25","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",42,"faces","Mandarin","chinese","label","male","dravidian",0,0,1,0,0,0,1
"26","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",43,"faces","Hindi","hindi","label","male","white",0,0,0,0,1,0,1
"27","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",44,"faces","Marathi","marathi","label","male","white",0,0,0,0,1,0,1
"28","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",45,"faces","English","english","label","male","muslim",0,1,0,0,0,0,1
"29","india-socioling","zenith","Z03A06","3",3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",46,"faces","Gujarati","gujarati","label","male","hindu",1,0,0,0,0,0,1
"37","india-socioling","zenith","Z03A09","3",3,8.45698924731183,-2.14822872384762,"male","muslim","hindi/urdu","hindi/urdu","",9,"faces","Tamil","tamil","label","female","white",0,0,0,0,1,0,1
"38","india-socioling","zenith","Z03A09","3",3,8.45698924731183,-2.14822872384762,"male","muslim","hindi/urdu","hindi/urdu","",10,"faces","Urdu","urdu","label","female","hindu",1,0,0,0,0,0,1
"39","india-socioling","zenith","Z03A09","3",3,8.45698924731183,-2.14822872384762,"male","muslim","hindi/urdu","hindi/urdu","",11,"faces","Mandarin","chinese","label","female","asian",0,0,0,1,0,0,1
