"","id","language","army_navy_language","id_correct","knows","familiar"
"1","Z03A06","Gujarati","gujarati",1,1,1
"2","Z03A06","Hindi","hindi",1,1,1
"3","Z03A06","Urdu","urdu",0,0,0
"4","Z03A06","Marathi","marathi",0,0,0
"5","Z03A06","Tamil","tamil",0,0,0
"6","Z03A06","English (India)","english",0,0,0
"7","Z03A06","English (U.S.)","english",1,NA,1
"8","Z03A06","Mandarin","chinese",0,NA,0
"9","Z03A09","Gujarati","gujarati",0,0,0
"10","Z03A09","Hindi","hindi",0,1,1
"11","Z03A09","Urdu","urdu",1,1,1
"12","Z03A09","Marathi","marathi",0,0,0
"13","Z03A09","Tamil","tamil",0,0,0
"14","Z03A09","English (India)","english",1,0,1
"15","Z03A09","English (U.S.)","english",1,NA,1
"16","Z03A09","Mandarin","chinese",0,NA,0
"17","Z03A16","Gujarati","gujarati",0,0,0
"18","Z03A16","Hindi","hindi",0,1,1
"19","Z03A16","Urdu","urdu",0,0,0
"20","Z03A16","Marathi","marathi",1,0,1
"21","Z03A16","Tamil","tamil",0,0,0
"22","Z03A16","English (India)","english",0,0,0
"23","Z03A16","English (U.S.)","english",1,NA,1
"24","Z03A16","Mandarin","chinese",0,NA,0
"25","Z03A51","Gujarati","gujarati",1,1,1
"26","Z03A51","Hindi","hindi",1,1,1
"27","Z03A51","Urdu","urdu",1,0,1
"28","Z03A51","Marathi","marathi",0,0,0
"29","Z03A51","Tamil","tamil",1,0,1
"30","Z03A51","English (India)","english",1,1,1
"31","Z03A51","English (U.S.)","english",1,NA,1
"32","Z03A51","Mandarin","chinese",0,NA,0
"33","Z03A59","Gujarati","gujarati",0,1,1
"34","Z03A59","Hindi","hindi",1,0,1
"35","Z03A59","Urdu","urdu",0,0,0
"36","Z03A59","Marathi","marathi",1,0,1
"37","Z03A59","Tamil","tamil",0,0,0
"38","Z03A59","English (India)","english",0,0,0
"39","Z03A59","English (U.S.)","english",1,NA,1
"40","Z03A59","Mandarin","chinese",0,NA,0
"41","Z03A60","Gujarati","gujarati",1,0,1
"42","Z03A60","Hindi","hindi",1,0,1
"43","Z03A60","Urdu","urdu",0,0,0
"44","Z03A60","Marathi","marathi",1,0,1
"45","Z03A60","Tamil","tamil",0,0,0
"46","Z03A60","English (India)","english",1,0,1
"47","Z03A60","English (U.S.)","english",1,NA,1
"48","Z03A60","Mandarin","chinese",0,NA,0
"49","Z03B58","Gujarati","gujarati",1,1,1
"50","Z03B58","Hindi","hindi",1,1,1
"51","Z03B58","Urdu","urdu",0,1,1
"52","Z03B58","Marathi","marathi",0,0,0
"53","Z03B58","Tamil","tamil",0,0,0
"54","Z03B58","English (India)","english",1,1,1
"55","Z03B58","English (U.S.)","english",1,NA,1
"56","Z03B58","Mandarin","chinese",0,NA,0
"57","Z03C01","Gujarati","gujarati",0,1,1
"58","Z03C01","Hindi","hindi",1,1,1
"59","Z03C01","Urdu","urdu",1,1,1
"60","Z03C01","Marathi","marathi",0,0,0
"61","Z03C01","Tamil","tamil",0,0,0
"62","Z03C01","English (India)","english",1,1,1
"63","Z03C01","English (U.S.)","english",1,NA,1
"64","Z03C01","Mandarin","chinese",0,NA,0
"65","Z03C02","Gujarati","gujarati",0,1,1
"66","Z03C02","Hindi","hindi",0,1,1
"67","Z03C02","Urdu","urdu",0,0,0
"68","Z03C02","Marathi","marathi",0,0,0
"69","Z03C02","Tamil","tamil",0,0,0
"70","Z03C02","English (India)","english",1,1,1
"71","Z03C02","English (U.S.)","english",0,NA,0
"72","Z03C02","Mandarin","chinese",0,NA,0
"73","Z03C04","Gujarati","gujarati",1,1,1
"74","Z03C04","Hindi","hindi",1,1,1
"75","Z03C04","Urdu","urdu",0,0,0
"76","Z03C04","Marathi","marathi",0,0,0
"77","Z03C04","Tamil","tamil",0,0,0
"78","Z03C04","English (India)","english",1,1,1
"79","Z03C04","English (U.S.)","english",1,NA,1
"80","Z03C04","Mandarin","chinese",1,NA,1
"81","Z03C06","Gujarati","gujarati",1,1,1
"82","Z03C06","Hindi","hindi",1,1,1
"83","Z03C06","Urdu","urdu",0,1,1
"84","Z03C06","Marathi","marathi",0,0,0
"85","Z03C06","Tamil","tamil",0,0,0
"86","Z03C06","English (India)","english",0,1,1
"87","Z03C06","English (U.S.)","english",0,NA,0
"88","Z03C06","Mandarin","chinese",0,NA,0
"89","Z03C07","Gujarati","gujarati",1,1,1
"90","Z03C07","Hindi","hindi",0,1,1
"91","Z03C07","Urdu","urdu",0,0,0
"92","Z03C07","Marathi","marathi",0,0,0
"93","Z03C07","Tamil","tamil",0,1,1
"94","Z03C07","English (India)","english",0,1,1
"95","Z03C07","English (U.S.)","english",1,NA,1
"96","Z03C07","Mandarin","chinese",1,NA,1
"97","Z03C09","Gujarati","gujarati",0,1,1
"98","Z03C09","Hindi","hindi",1,1,1
"99","Z03C09","Urdu","urdu",1,0,1
"100","Z03C09","Marathi","marathi",0,0,0
"101","Z03C09","Tamil","tamil",1,0,1
"102","Z03C09","English (India)","english",0,1,1
"103","Z03C09","English (U.S.)","english",1,NA,1
"104","Z03C09","Mandarin","chinese",1,NA,1
"105","Z03C10","Gujarati","gujarati",1,1,1
"106","Z03C10","Hindi","hindi",1,1,1
"107","Z03C10","Urdu","urdu",0,0,0
"108","Z03C10","Marathi","marathi",1,1,1
"109","Z03C10","Tamil","tamil",0,0,0
"110","Z03C10","English (India)","english",1,0,1
"111","Z03C10","English (U.S.)","english",1,NA,1
"112","Z03C10","Mandarin","chinese",1,NA,1
"113","Z03C14","Gujarati","gujarati",1,1,1
"114","Z03C14","Hindi","hindi",1,1,1
"115","Z03C14","Urdu","urdu",0,1,1
"116","Z03C14","Marathi","marathi",0,1,1
"117","Z03C14","Tamil","tamil",0,0,0
"118","Z03C14","English (India)","english",1,1,1
"119","Z03C14","English (U.S.)","english",1,NA,1
"120","Z03C14","Mandarin","chinese",1,NA,1
"121","Z03C16","Gujarati","gujarati",0,0,0
"122","Z03C16","Hindi","hindi",1,1,1
"123","Z03C16","Urdu","urdu",0,0,0
"124","Z03C16","Marathi","marathi",0,0,0
"125","Z03C16","Tamil","tamil",1,0,1
"126","Z03C16","English (India)","english",1,0,1
"127","Z03C16","English (U.S.)","english",1,NA,1
"128","Z03C16","Mandarin","chinese",0,NA,0
"129","Z03C18","Gujarati","gujarati",0,1,1
"130","Z03C18","Hindi","hindi",1,1,1
"131","Z03C18","Urdu","urdu",0,0,0
"132","Z03C18","Marathi","marathi",0,1,1
"133","Z03C18","Tamil","tamil",1,0,1
"134","Z03C18","English (India)","english",1,1,1
"135","Z03C18","English (U.S.)","english",1,NA,1
"136","Z03C18","Mandarin","chinese",0,NA,0
"137","Z03C20","Gujarati","gujarati",0,0,0
"138","Z03C20","Hindi","hindi",0,1,1
"139","Z03C20","Urdu","urdu",0,1,1
"140","Z03C20","Marathi","marathi",0,0,0
"141","Z03C20","Tamil","tamil",0,0,0
"142","Z03C20","English (India)","english",1,1,1
"143","Z03C20","English (U.S.)","english",1,NA,1
"144","Z03C20","Mandarin","chinese",0,NA,0
"145","Z03C43","Gujarati","gujarati",1,1,1
"146","Z03C43","Hindi","hindi",0,1,1
"147","Z03C43","Urdu","urdu",0,0,0
"148","Z03C43","Marathi","marathi",0,0,0
