"","id","language","id_correct"
"1","Z03A06","Marathi",0
"2","Z03A06","English (U.S.)",1
"3","Z03A06","Hindi",1
"4","Z03A06","Gujarati",1
"5","Z03A06","English (India)",0
"6","Z03A06","Mandarin",0
"7","Z03A06","Tamil",0
"8","Z03A06","Urdu",0
"9","Z03A09","Marathi",0
"10","Z03A09","English (U.S.)",1
"11","Z03A09","Hindi",0
"12","Z03A09","Gujarati",0
"13","Z03A09","English (India)",1
"14","Z03A09","Mandarin",0
"15","Z03A09","Tamil",0
"16","Z03A09","Urdu",1
"17","Z03A16","Marathi",1
"18","Z03A16","English (U.S.)",1
"19","Z03A16","Hindi",0
"20","Z03A16","Gujarati",0
"21","Z03A16","English (India)",0
"22","Z03A16","Mandarin",0
"23","Z03A16","Tamil",0
"24","Z03A16","Urdu",0
"25","Z03A51","Marathi",0
"26","Z03A51","English (U.S.)",1
"27","Z03A51","Hindi",1
"28","Z03A51","Gujarati",1
"29","Z03A51","English (India)",1
"30","Z03A51","Mandarin",0
"31","Z03A51","Tamil",1
"32","Z03A51","Urdu",1
"33","Z03A59","Marathi",1
"34","Z03A59","English (U.S.)",1
"35","Z03A59","Hindi",1
"36","Z03A59","Gujarati",0
"37","Z03A59","English (India)",0
"38","Z03A59","Mandarin",0
"39","Z03A59","Tamil",0
"40","Z03A59","Urdu",0
"41","Z03A60","Marathi",1
"42","Z03A60","English (U.S.)",1
"43","Z03A60","Hindi",1
"44","Z03A60","Gujarati",1
"45","Z03A60","English (India)",1
"46","Z03A60","Mandarin",0
"47","Z03A60","Tamil",0
"48","Z03A60","Urdu",0
"49","Z03B58","Urdu",0
"50","Z03B58","Hindi",1
"51","Z03B58","English (India)",1
"52","Z03B58","English (U.S.)",1
"53","Z03B58","Marathi",0
"54","Z03B58","Mandarin",0
"55","Z03B58","Tamil",0
"56","Z03B58","Gujarati",1
"57","Z03C01","Marathi",0
"58","Z03C01","English (U.S.)",1
"59","Z03C01","Hindi",1
"60","Z03C01","Gujarati",0
"61","Z03C01","English (India)",1
"62","Z03C01","Mandarin",0
"63","Z03C01","Tamil",0
"64","Z03C01","Urdu",1
"65","Z03C02","Marathi",0
"66","Z03C02","English (U.S.)",0
"67","Z03C02","Hindi",0
"68","Z03C02","Gujarati",0
"69","Z03C02","English (India)",1
"70","Z03C02","Mandarin",0
"71","Z03C02","Tamil",0
"72","Z03C02","Urdu",0
"73","Z03C04","Marathi",0
"74","Z03C04","English (U.S.)",1
"75","Z03C04","Hindi",1
"76","Z03C04","Gujarati",1
"77","Z03C04","English (India)",1
"78","Z03C04","Mandarin",1
"79","Z03C04","Tamil",0
"80","Z03C04","Urdu",0
"81","Z03C06","Urdu",0
"82","Z03C06","Hindi",1
"83","Z03C06","English (India)",0
