"","study_name","school","id","standard","standard_num","child_age","child_age_centered","child_sex","child_religion","mother_tongue","home_language","friends_language","sequence","question_type","language","army_navy_language","presentation","speaker_gender","response","id_correct"
"1","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",55,"id","Marathi","marathi","audio","female","tamil",0
"2","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",56,"id","English (U.S.)","english","audio","female","english",1
"3","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",57,"id","Hindi","hindi","audio","female","hindi",1
"4","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",58,"id","Gujarati","gujarati","audio","female","gujarati",1
"5","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",59,"id","English (India)","english","audio","female","chinese",0
"6","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",60,"id","Mandarin","chinese","audio","female","marathi",0
"7","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",61,"id","Tamil","tamil","audio","female","urdu",0
"8","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.41973410019171,"male","muslim","","hindi gujarati","",62,"id","Urdu","urdu","audio","female","tamil",0
"9","india-socioling","zenith","Z03A09",3,3,8.45698924731183,-2.14822872384762,"male","muslim","hindi/urdu","hindi/urdu","",31,"id","Marathi","marathi","audio","female","urdu",0
"10","india-socioling","zenith","Z03A09",3,3,8.45698924731183,-2.14822872384762,"male","muslim","hindi/urdu","hindi/urdu","",32,"id","English (U.S.)","english","audio","female","english",1
"11","india-socioling","zenith","Z03A09",3,3,8.45698924731183,-2.14822872384762,"male","muslim","hindi/urdu","hindi/urdu","",33,"id","Hindi","hindi","audio","female","urdu",0
"12","india-socioling","zenith","Z03A09",3,3,8.45698924731183,-2.14822872384762,"male","muslim","hindi/urdu","hindi/urdu","",34,"id","Gujarati","gujarati","audio","female","hindi",0
"13","india-socioling","zenith","Z03A09",3,3,8.45698924731183,-2.14822872384762,"male","muslim","hindi/urdu","hindi/urdu","",35,"id","English (India)","english","audio","female","english",1
"14","india-socioling","zenith","Z03A09",3,3,8.45698924731183,-2.14822872384762,"male","muslim","hindi/urdu","hindi/urdu","",36,"id","Mandarin","chinese","audio","female","marathi",0
"15","india-socioling","zenith","Z03A09",3,3,8.45698924731183,-2.14822872384762,"male","muslim","hindi/urdu","hindi/urdu","",37,"id","Tamil","tamil","audio","female","english",0
"16","india-socioling","zenith","Z03A09",3,3,8.45698924731183,-2.14822872384762,"male","muslim","hindi/urdu","hindi/urdu","",38,"id","Urdu","urdu","audio","female","urdu",1
"17","india-socioling","zenith","Z03A16",3,3,7.69623655913978,-2.90898141201968,"male","muslim","","hindi","",55,"id","Marathi","marathi","audio","female","marathi",1
"18","india-socioling","zenith","Z03A16",3,3,7.69623655913978,-2.90898141201968,"male","muslim","","hindi","",56,"id","English (U.S.)","english","audio","female","english",1
"19","india-socioling","zenith","Z03A16",3,3,7.69623655913978,-2.90898141201968,"male","muslim","","hindi","",57,"id","Hindi","hindi","audio","female","urdu",0
"20","india-socioling","zenith","Z03A16",3,3,7.69623655913978,-2.90898141201968,"male","muslim","","hindi","",58,"id","Gujarati","gujarati","audio","female","punjabi",0
"21","india-socioling","zenith","Z03A16",3,3,7.69623655913978,-2.90898141201968,"male","muslim","","hindi","",59,"id","English (India)","english","audio","female","tamil",0
"22","india-socioling","zenith","Z03A16",3,3,7.69623655913978,-2.90898141201968,"male","muslim","","hindi","",60,"id","Mandarin","chinese","audio","female","pongul",0
"23","india-socioling","zenith","Z03A16",3,3,7.69623655913978,-2.90898141201968,"male","muslim","","hindi","",61,"id","Tamil","tamil","audio","female","chinese",0
"24","india-socioling","zenith","Z03A16",3,3,7.69623655913978,-2.90898141201968,"male","muslim","","hindi","",62,"id","Urdu","urdu","audio","female","odisha",0
"25","india-socioling","zenith","Z03A51",3,3,7.91129032258065,-2.6939276485788,"female","hindu","","hindigujarati","hindi english",31,"id","Marathi","marathi","audio","female","chinese",0
"26","india-socioling","zenith","Z03A51",3,3,7.91129032258065,-2.6939276485788,"female","hindu","","hindigujarati","hindi english",32,"id","English (U.S.)","english","audio","female","english",1
"27","india-socioling","zenith","Z03A51",3,3,7.91129032258065,-2.6939276485788,"female","hindu","","hindigujarati","hindi english",33,"id","Hindi","hindi","audio","female","hindi",1
"28","india-socioling","zenith","Z03A51",3,3,7.91129032258065,-2.6939276485788,"female","hindu","","hindigujarati","hindi english",34,"id","Gujarati","gujarati","audio","female","gujarati",1
"29","india-socioling","zenith","Z03A51",3,3,7.91129032258065,-2.6939276485788,"female","hindu","","hindigujarati","hindi english",35,"id","English (India)","english","audio","female","english",1
"30","india-socioling","zenith","Z03A51",3,3,7.91129032258065,-2.6939276485788,"female","hindu","","hindigujarati","hindi english",36,"id","Mandarin","chinese","audio","female","marathi",0
"31","india-socioling","zenith","Z03A51",3,3,7.91129032258065,-2.6939276485788,"female","hindu","","hindigujarati","hindi english",37,"id","Tamil","tamil","audio","female","tamil",1
"32","india-socioling","zenith","Z03A51",3,3,7.91129032258065,-2.6939276485788,"female","hindu","","hindigujarati","hindi english",38,"id","Urdu","urdu","audio","female","urdu",1
"33","india-socioling","zenith","Z03A59",3,3,8.25537634408602,-2.34984162707343,"female","hindu","gujarati","gujarati","",31,"id","Marathi","marathi","audio","female","marathi",1
"34","india-socioling","zenith","Z03A59",3,3,8.25537634408602,-2.34984162707343,"female","hindu","gujarati","gujarati","",32,"id","English (U.S.)","english","audio","female","english",1
"35","india-socioling","zenith","Z03A59",3,3,8.25537634408602,-2.34984162707343,"female","hindu","gujarati","gujarati","",33,"id","Hindi","hindi","audio","female","hindi",1
"36","india-socioling","zenith","Z03A59",3,3,8.25537634408602,-2.34984162707343,"female","hindu","gujarati","gujarati","",34,"id","Gujarati","gujarati","audio","female","urdu",0
"37","india-socioling","zenith","Z03A59",3,3,8.25537634408602,-2.34984162707343,"female","hindu","gujarati","gujarati","",35,"id","English (India)","english","audio","female","tamil",0
"38","india-socioling","zenith","Z03A59",3,3,8.25537634408602,-2.34984162707343,"female","hindu","gujarati","gujarati","",36,"id","Mandarin","chinese","audio","female","marathi",0
"39","india-socioling","zenith","Z03A59",3,3,8.25537634408602,-2.34984162707343,"female","hindu","gujarati","gujarati","",37,"id","Tamil","tamil","audio","female","marathi",0
"40","india-socioling","zenith","Z03A59",3,3,8.25537634408602,-2.34984162707343,"female","hindu","gujarati","gujarati","",38,"id","Urdu","urdu","audio","female","gujarati",0
"41","india-socioling","zenith","Z03A60",3,3,8.20698924731183,-2.39822872384762,"female","other","malyam","malyam","",55,"id","Marathi","marathi","audio","female","marathi",1
"42","india-socioling","zenith","Z03A60",3,3,8.20698924731183,-2.39822872384762,"female","other","malyam","malyam","",56,"id","English (U.S.)","english","audio","female","english",1
"43","india-socioling","zenith","Z03A60",3,3,8.20698924731183,-2.39822872384762,"female","other","malyam","malyam","",57,"id","Hindi","hindi","audio","female","hindi",1
"44","india-socioling","zenith","Z03A60",3,3,8.20698924731183,-2.39822872384762,"female","other","malyam","malyam","",58,"id","Gujarati","gujarati","audio","female","gujarati",1
"45","india-socioling","zenith","Z03A60",3,3,8.20698924731183,-2.39822872384762,"female","other","malyam","malyam","",59,"id","English (India)","english","audio","female","english",1
"46","india-socioling","zenith","Z03A60",3,3,8.20698924731183,-2.39822872384762,"female","other","malyam","malyam","",60,"id","Mandarin","chinese","audio","female","hindi",0
"47","india-socioling","zenith","Z03A60",3,3,8.20698924731183,-2.39822872384762,"female","other","malyam","malyam","",61,"id","Tamil","tamil","audio","female","urdu",0
