"","id","standard","standard_num","child_age_centered","child_sex","child_religion","language","face","rating","no_opinion_face","no_opinion_face_hindu","no_opinion_face_muslim","no_opinion_face_dravidian","no_opinion_face_asian","no_opinion_face_white"
"1","Z03A06",3,3,-2.43815550041357,"male","muslim","""Gujarati""","hindu",1,0,0,0,0,0,0
"2","Z03A06",3,3,-2.43815550041357,"male","muslim","""Hindi""","hindu",2,0,0,0,0,0,0
"3","Z03A06",3,3,-2.43815550041357,"male","muslim","""English""","hindu",1,0,0,0,0,0,0
"4","Z03A06",3,3,-2.43815550041357,"male","muslim","""Chinese""","hindu",0,0,0,0,0,0,0
"5","Z03A06",3,3,-2.43815550041357,"male","muslim","""Tamil""","hindu",0,0,0,0,0,0,0
"6","Z03A09",3,3,-2.16665012406948,"male","muslim","""Gujarati""","hindu",2,0,0,0,0,0,0
"7","Z03A09",3,3,-2.16665012406948,"male","muslim","""Hindi""","hindu",1,0,0,0,0,0,0
"8","Z03A09",3,3,-2.16665012406948,"male","muslim","""English""","hindu",1,0,0,0,0,0,0
"9","Z03A09",3,3,-2.16665012406948,"male","muslim","""Chinese""","hindu",1,0,0,0,0,0,0
"10","Z03A09",3,3,-2.16665012406948,"male","muslim","""Tamil""","hindu",1,0,0,0,0,0,0
"11","Z03A16",3,3,-2.92740281224153,"male","muslim","""Gujarati""","hindu",2,1,0,1,0,0,0
"12","Z03A16",3,3,-2.92740281224153,"male","muslim","""Hindi""","hindu",0,0,0,0,0,0,0
"13","Z03A16",3,3,-2.92740281224153,"male","muslim","""English""","hindu",1,1,0,1,0,0,0
"14","Z03A16",3,3,-2.92740281224153,"male","muslim","""Chinese""","hindu",1,1,0,1,0,0,0
"15","Z03A16",3,3,-2.92740281224153,"male","muslim","""Tamil""","hindu",1,0,0,0,0,NA,NA
"16","Z03A51",3,3,-2.71234904880066,"female","hindu","""Gujarati""","hindu",1,0,0,0,0,0,0
"17","Z03A51",3,3,-2.71234904880066,"female","hindu","""Hindi""","hindu",0,0,0,0,0,0,0
"18","Z03A51",3,3,-2.71234904880066,"female","hindu","""English""","hindu",1,0,0,0,0,0,0
"19","Z03A51",3,3,-2.71234904880066,"female","hindu","""Marathi""","hindu",0,0,0,0,0,0,0
"20","Z03A51",3,3,-2.71234904880066,"female","hindu","""Tamil""","hindu",0,1,0,0,0,1,1
"21","Z03A59",3,3,-2.36826302729529,"female","hindu","""Gujarati""","hindu",2,0,0,0,0,0,0
"22","Z03A59",3,3,-2.36826302729529,"female","hindu","""Hindi""","hindu",1,0,0,0,0,0,0
"23","Z03A59",3,3,-2.36826302729529,"female","hindu","""English""","hindu",1,0,0,0,0,0,0
"24","Z03A59",3,3,-2.36826302729529,"female","hindu","""Chinese""","hindu",0,0,0,0,0,0,0
"25","Z03A59",3,3,-2.36826302729529,"female","hindu","""Tamil""","hindu",0,0,0,0,0,0,0
"26","Z03A60",3,3,-2.41665012406948,"female","other","""Gujarati""","hindu",2,0,0,0,0,NA,NA
"27","Z03A60",3,3,-2.41665012406948,"female","other","""Hindi""","hindu",2,0,0,0,0,0,0
"28","Z03A60",3,3,-2.41665012406948,"female","other","""English""","hindu",NA,1,1,0,0,0,0
"29","Z03A60",3,3,-2.41665012406948,"female","other","""Chinese""","hindu",2,1,0,0,1,0,0
"30","Z03A60",3,3,-2.41665012406948,"female","other","""Tamil""","hindu",2,1,0,0,1,0,0
"31","Z03B58",3,3,-2.48923076923077,"female","muslim","""Hindi""","hindu",NA,0,NA,0,NA,NA,NA
"32","Z03B58",3,3,-2.48923076923077,"female","muslim","""Tamil""","hindu",NA,0,NA,0,NA,NA,NA
"33","Z03B58",3,3,-2.48923076923077,"female","muslim","""English""","hindu",NA,0,NA,0,NA,NA,NA
"34","Z03B58",3,3,-2.48923076923077,"female","muslim","""Gujarati""","hindu",NA,0,NA,0,NA,NA,NA
"35","Z03B58",3,3,-2.48923076923077,"female","muslim","""Chinese""","hindu",NA,0,NA,0,NA,NA,NA
"36","Z03C01",3,3,-2.25535980148884,"male","muslim","""English""","hindu",0,0,0,0,0,NA,NA
"37","Z03C01",3,3,-2.25535980148884,"male","muslim","""Chinese""","hindu",1,0,0,0,0,NA,NA
"38","Z03C01",3,3,-2.25535980148884,"male","muslim","""Hindi""","hindu",2,0,0,0,0,NA,NA
"39","Z03C01",3,3,-2.25535980148884,"male","muslim","""Tamil""","hindu",2,0,0,0,0,NA,NA
"40","Z03C01",3,3,-2.25535980148884,"male","muslim","""Gujarati""","hindu",1,0,0,0,0,NA,NA
"41","Z03C02",3,3,-2.86557485525228,"male","muslim","""English""","hindu",2,0,0,0,0,NA,NA
"42","Z03C02",3,3,-2.86557485525228,"male","muslim","""Chinese""","hindu",2,0,0,0,0,NA,NA
"43","Z03C02",3,3,-2.86557485525228,"male","muslim","""Hindi""","hindu",1,0,0,0,0,NA,NA
"44","Z03C02",3,3,-2.86557485525228,"male","muslim","""Tamil""","hindu",1,0,0,0,0,NA,NA
"45","Z03C02",3,3,-2.86557485525228,"male","muslim","""Gujarati""","hindu",1,0,0,0,0,NA,NA
"46","Z03C04",3,3,-1.62363937138131,"male","muslim","""English""","hindu",0,0,0,0,0,NA,NA
