"","study_name","school","id","standard","standard_num","child_age","child_age_centered","child_sex","child_religion","ancestors","french","indian","tell_a_lot","tell_education","tell_where_from"
"1","india-socioling","zenith","Z03A06",3,3,8.18548387096774,-2.43815550041357,"male","muslim",5,NA,4,NA,NA,NA
"2","india-socioling","zenith","Z03A09",3,3,8.45698924731183,-2.16665012406948,"male","muslim",5,NA,4,NA,NA,NA
"3","india-socioling","zenith","Z03A16",3,3,7.69623655913978,-2.92740281224153,"male","muslim",3,NA,5,NA,NA,NA
"4","india-socioling","zenith","Z03A51",3,3,7.91129032258065,-2.71234904880066,"female","hindu",5,NA,4,NA,NA,NA
"5","india-socioling","zenith","Z03A59",3,3,8.25537634408602,-2.36826302729529,"female","hindu",5,NA,3,NA,NA,NA
"6","india-socioling","zenith","Z03A60",3,3,8.20698924731183,-2.41665012406948,"female","other",3,NA,4,NA,NA,NA
"7","india-socioling","zenith","Z03B58",3,3,8.13440860215054,-2.48923076923077,"female","muslim",4,4,5,4,1,3
"8","india-socioling","zenith","Z03C01",3,3,8.36827956989247,-2.25535980148884,"male","muslim",3,4,1,4,5,5
"9","india-socioling","zenith","Z03C02",3,3,7.75806451612903,-2.86557485525228,"male","muslim",5,2,1,2,1,4
"10","india-socioling","zenith","Z03C04",3,3,9,-1.62363937138131,"male","muslim",3,4,2,2,4,4
"11","india-socioling","zenith","Z03C06",3,3,8,-2.62363937138131,"male","muslim",4,4,5,5,5,4
"12","india-socioling","zenith","Z03C07",3,3,8.6,-2.02363937138131,"male","hindu",4,3,3,2,4,2
"13","india-socioling","zenith","Z03C09",3,3,8,-2.62363937138131,"male","muslim",3,5,4,4,1,5
"14","india-socioling","zenith","Z03C10",3,3,8.4,-2.22363937138131,"male","hindu",1,3,5,3,5,1
"15","india-socioling","zenith","Z03C14",3,3,8.1,-2.52363937138131,"male","hindu",5,1,5,5,1,2
"16","india-socioling","zenith","Z03C16",3,3,8.3,-2.32363937138131,"male","hindu",5,4,5,4,4,3
"17","india-socioling","zenith","Z03C18",3,3,8.6,-2.02363937138131,"male","hindu",3,5,5,3,1,5
"18","india-socioling","zenith","Z03C20",3,3,8.4,-2.22363937138131,"male","muslim",3,5,5,1,1,5
"19","india-socioling","zenith","Z03C43",3,3,8,-2.62363937138131,"female","muslim",3,1,3,1,1,5
"20","india-socioling","zenith","Z03C44",3,3,8.7,-1.92363937138131,"female","hindu",3,5,2,1,4,4
"21","india-socioling","zenith","Z03C46",3,3,7.8,-2.82363937138131,"female","muslim",2,2,3,1,5,4
"22","india-socioling","zenith","Z03C47",3,3,8.3,-2.32363937138131,"female","hindu",3,4,4,4,5,4
"23","india-socioling","zenith","Z03C48",3,3,7.9,-2.72363937138131,"female","hindu",3,1,1,3,2,2
"24","india-socioling","zenith","Z03C49",3,3,8,-2.62363937138131,"female","muslim",4,5,2,5,4,2
"25","india-socioling","zenith","Z03C51",3,3,8,-2.62363937138131,"female","muslim",5,1,5,3,1,2
"26","india-socioling","zenith","Z03C60",3,3,8.3,-2.32363937138131,"female","muslim",3,1,5,1,5,1
"27","india-socioling","zenith","Z03C62",3,3,8.5,-2.12363937138131,"female","muslim",2,4,5,3,4,5
"28","india-socioling","zenith","Z05A03",5,5,10,-0.623639371381309,"male","hindu",4,2,3,4,5,5
"29","india-socioling","zenith","Z05A04",5,5,10,-0.623639371381309,"male","hindu",4,3,5,NA,NA,NA
"30","india-socioling","zenith","Z05A05",5,5,10,-0.623639371381309,"male","hindu",1,5,5,NA,NA,NA
"31","india-socioling","zenith","Z05A07",5,5,11,0.376360628618691,"male","hindu",4,3,5,2,5,4
"32","india-socioling","zenith","Z05A08",5,5,10,-0.623639371381309,"male","hindu",5,1,4,4,5,5
"33","india-socioling","zenith","Z05A09",5,5,11,0.376360628618691,"male","muslim",3,1,3,NA,NA,NA
"34","india-socioling","zenith","Z05A10",5,5,10,-0.623639371381309,"male","muslim",3,3,2,NA,NA,NA
"35","india-socioling","zenith","Z05A13",5,5,11,0.376360628618691,"male","hindu",4,3,5,NA,NA,NA
"36","india-socioling","zenith","Z05A19",5,5,11,0.376360628618691,"male","muslim",5,1,5,NA,NA,NA
"37","india-socioling","zenith","Z05A33",5,5,9.8,-0.823639371381308,"male","muslim",3,3,5,5,1,5
"38","india-socioling","zenith","Z05A42",5,5,10,-0.623639371381309,"female","other",1,3,5,NA,NA,NA
"39","india-socioling","zenith","Z05A43",5,5,10,-0.623639371381309,"female","hindu",5,3,5,NA,NA,NA
"40","india-socioling","zenith","Z05A47",5,5,10,-0.623639371381309,"female","hindu",3,5,5,NA,NA,NA
"41","india-socioling","zenith","Z05A48",5,5,11,0.376360628618691,"female","muslim",3,3,5,NA,NA,NA
"42","india-socioling","zenith","Z05A49",5,5,9.9,-0.723639371381308,"female","hindu",4,3,2,NA,NA,NA
"43","india-socioling","zenith","Z05A4X",5,5,10,-0.623639371381309,"female","hindu",3,4,3,1,3,3
"44","india-socioling","zenith","Z05A51",5,5,11,0.376360628618691,"female","hindu",5,NA,4,NA,NA,NA
"45","india-socioling","zenith","Z05A52",5,5,10,-0.623639371381309,"female","hindu",4,3,5,NA,NA,NA
"46","india-socioling","zenith","Z05A53",5,5,11,0.376360628618691,"female","muslim",1,3,5,5,2,3
"47","india-socioling","zenith","Z05A56",5,5,10,-0.623639371381309,"female","hindu",2,1,5,5,2,3
"48","india-socioling","zenith","Z05A57",5,5,10,-0.623639371381309,"female","hindu",4,3,5,4,4,2
"49","india-socioling","zenith","Z05A60",5,5,10,-0.623639371381309,"female","hindu",4,2,3,4,3,4
"50","india-socioling","zenith","Z05B03",5,5,10,-0.623639371381309,"male","hindu",3,NA,4,NA,NA,NA
"51","india-socioling","zenith","Z05B04",5,5,10,-0.623639371381309,"male","hindu",5,NA,4,NA,NA,NA
"52","india-socioling","zenith","Z05B05",5,5,10,-0.623639371381309,"male","muslim",1,3,1,5,5,3
"53","india-socioling","zenith","Z05B11",5,5,11,0.376360628618691,"male","hindu",5,1,5,1,1,5
"54","india-socioling","zenith","Z05B12",5,5,11,0.376360628618691,"male","muslim",3,5,4,3,1,3
"55","india-socioling","zenith","Z05B16",5,5,11,0.376360628618691,"male","muslim",4,NA,5,NA,NA,NA
"56","india-socioling","zenith","Z05B17",5,5,10,-0.623639371381309,"male","hindu",3,2,4,3,5,4
"57","india-socioling","zenith","Z05B19",5,5,11,0.376360628618691,"male","hindu",2,2,5,3,1,5
"58","india-socioling","zenith","Z05B20",5,5,10,-0.623639371381309,"male","muslim",4,5,3,5,2,3
"59","india-socioling","zenith","Z05B32",5,5,11,0.376360628618691,"male","muslim",NA,5,NA,1,3,1
"60","india-socioling","zenith","Z05B44",5,5,11,0.376360628618691,"female","muslim",1,NA,4,NA,NA,NA
"61","india-socioling","zenith","Z05B47",5,5,10,-0.623639371381309,"female","hindu",3,NA,4,NA,NA,NA
"62","india-socioling","zenith","Z05B48",5,5,10,-0.623639371381309,"female","hindu",3,NA,2,NA,NA,NA
"63","india-socioling","zenith","Z05B49",5,5,10,-0.623639371381309,"female","hindu",NA,2,NA,3,2,4
"64","india-socioling","zenith","Z05B50",5,5,9.8,-0.823639371381308,"female","muslim",4,NA,3,NA,NA,NA
"65","india-socioling","zenith","Z05B55",5,5,10,-0.623639371381309,"female","muslim",2,4,4,4,4,4
"66","india-socioling","zenith","Z05B56",5,5,11,0.376360628618691,"female","muslim",4,1,5,3,4,2
"67","india-socioling","zenith","Z05B62",5,5,10,-0.623639371381309,"female","hindu",3,2,4,4,4,4
"68","india-socioling","zenith","Z05C03",5,5,10,-0.623639371381309,"male","hindu",1,1,5,4,3,1
"69","india-socioling","zenith","Z05C04",5,5,10,-0.623639371381309,"male","hindu",3,4,5,5,3,4
"70","india-socioling","zenith","Z05C06",5,5,10,-0.623639371381309,"male","other",5,1,5,5,5,5
"71","india-socioling","zenith","Z05C07",5,5,11,0.376360628618691,"male","muslim",1,5,5,1,5,1
"72","india-socioling","zenith","Z05C09",5,5,10,-0.623639371381309,"male","hindu",1,4,3,1,1,5
"73","india-socioling","zenith","Z05C10",5,5,10,-0.623639371381309,"male","muslim",3,3,5,3,1,5
"74","india-socioling","zenith","Z05C44",5,5,10,-0.623639371381309,"female","hindu",4,4,4,3,5,5
"75","india-socioling","zenith","Z05C45",5,5,10,-0.623639371381309,"female","hindu",4,3,5,1,1,5
"76","india-socioling","zenith","Z05C46",5,5,10,-0.623639371381309,"female","muslim",3,2,5,1,4,2
"77","india-socioling","zenith","Z05C48",5,5,10,-0.623639371381309,"female","muslim",4,3,5,2,5,5
"78","india-socioling","zenith","Z05C49",5,5,10,-0.623639371381309,"female","hindu",5,2,5,5,5,5
"79","india-socioling","zenith","Z05C50",5,5,9.7,-0.923639371381309,"female","hindu",4,2,4,2,3,5
"80","india-socioling","zenith","Z05C51",5,5,10,-0.623639371381309,"female","muslim",2,2,5,4,4,5
"81","india-socioling","zenith","Z05C56",5,5,10,-0.623639371381309,"female","muslim",4,3,5,2,4,5
"82","india-socioling","zenith","Z07A01",7,7,12,1.37636062861869,"male","hindu",3,3,2,4,4,5
"83","india-socioling","zenith","Z07A02",7,7,12,1.37636062861869,"male","hindu",4,3,5,2,1,5
"84","india-socioling","zenith","Z07A04",7,7,12,1.37636062861869,"male","hindu",4,2,5,5,3,5
"85","india-socioling","zenith","Z07A05",7,7,12,1.37636062861869,"male","muslim",3,3,4,3,4,3
"86","india-socioling","zenith","Z07A06",7,7,13,2.37636062861869,"male","hindu",3,5,5,5,4,5
"87","india-socioling","zenith","Z07A09",7,7,12,1.37636062861869,"male",NA,5,5,3,4,3,5
"88","india-socioling","zenith","Z07A10",7,7,13,2.37636062861869,"male","muslim",3,2,3,3,4,5
"89","india-socioling","zenith","Z07A11",7,7,13,2.37636062861869,"male","hindu",3,4,4,4,4,5
"90","india-socioling","zenith","Z07A12",7,7,13,2.37636062861869,"male","hindu",1,2,1,5,5,5
"91","india-socioling","zenith","Z07A13",7,7,12,1.37636062861869,"male",NA,5,4,3,5,3,5
"92","india-socioling","zenith","Z07A14",7,7,13,2.37636062861869,"male","hindu",3,4,2,3,4,3
"93","india-socioling","zenith","Z07A16",7,7,12,1.37636062861869,"male","muslim",2,1,3,1,1,2
"94","india-socioling","zenith","Z07A18",7,7,12,1.37636062861869,"male","muslim",2,1,5,2,1,5
"95","india-socioling","zenith","Z07A19",7,7,12,1.37636062861869,"male","muslim",2,2,2,1,1,2
"96","india-socioling","zenith","Z07A20",7,7,12,1.37636062861869,"male","muslim",5,5,4,2,5,2
"97","india-socioling","zenith","Z07A21",7,7,12,1.37636062861869,"male","hindu",2,4,3,3,3,1
"98","india-socioling","zenith","Z07A39",7,7,12,1.37636062861869,"female","hindu",3,1,4,5,1,5
"99","india-socioling","zenith","Z07A40",7,7,12,1.37636062861869,"female","muslim",5,5,4,5,4,5
"100","india-socioling","zenith","Z07A41",7,7,12,1.37636062861869,"female","hindu",4,2,4,4,3,4
"101","india-socioling","zenith","Z07A42",7,7,12,1.37636062861869,"female","hindu",5,2,4,4,2,4
"102","india-socioling","zenith","Z07A43",7,7,12,1.37636062861869,"female","muslim",4,4,4,4,3,3
"103","india-socioling","zenith","Z07A45",7,7,12,1.37636062861869,"female","muslim",2,4,3,3,4,4
"104","india-socioling","zenith","Z07A46",7,7,12,1.37636062861869,"female","muslim",2,4,4,3,3,3
"105","india-socioling","zenith","Z07A47",7,7,13,2.37636062861869,"female","hindu",4,4,4,4,1,4
"106","india-socioling","zenith","Z07A48",7,7,12,1.37636062861869,"female","muslim",4,3,4,4,4,4
"107","india-socioling","zenith","Z07A50",7,7,13,2.37636062861869,"female","muslim",4,3,5,5,4,5
"108","india-socioling","zenith","Z07A51",7,7,13,2.37636062861869,"female","muslim",3,4,2,1,5,3
"109","india-socioling","zenith","Z07A55",7,7,13,2.37636062861869,"female","hindu",3,5,1,5,1,3
"110","india-socioling","zenith","Z07A56",7,7,13,2.37636062861869,"female","hindu",4,3,4,3,1,1
"111","india-socioling","zenith","Z07A58",7,7,12,1.37636062861869,"female","hindu",4,4,4,2,2,4
"112","india-socioling","zenith","Z07A59",7,7,13,2.37636062861869,"female","hindu",3,2,4,5,5,5
"113","india-socioling","zenith","Z07B03",7,7,12,1.37636062861869,"male","hindu",2,3,2,2,2,4
"114","india-socioling","zenith","Z07B05",7,7,12,1.37636062861869,"male","muslim",3,3,4,3,2,4
"115","india-socioling","zenith","Z07B06",7,7,13,2.37636062861869,"male","hindu",4,2,5,1,3,1
"116","india-socioling","zenith","Z07B07",7,7,13,2.37636062861869,"male","hindu",4,3,5,5,3,5
"117","india-socioling","zenith","Z07B08",7,7,12,1.37636062861869,"male","hindu",4,4,5,2,1,5
"118","india-socioling","zenith","Z07B11",7,7,13,2.37636062861869,"male","other",1,2,5,2,4,1
"119","india-socioling","zenith","Z07B12",7,7,13,2.37636062861869,"male","muslim",4,4,3,2,3,2
"120","india-socioling","zenith","Z07B21",7,7,13,2.37636062861869,"male","muslim",2,2,2,5,2,2
"121","india-socioling","zenith","Z07B38",7,7,13,2.37636062861869,"female","hindu",3,3,5,4,1,5
"122","india-socioling","zenith","Z07B39",7,7,12,1.37636062861869,"female","hindu",4,2,5,2,2,1
"123","india-socioling","zenith","Z07B40",7,7,12,1.37636062861869,"female","hindu",3,4,4,4,2,4
"124","india-socioling","zenith","Z07B41",7,7,12,1.37636062861869,"female","muslim",4,3,3,4,4,2
"125","india-socioling","zenith","Z07B42",7,7,12,1.37636062861869,"female","muslim",3,4,3,2,3,2
"126","india-socioling","zenith","Z07B43",7,7,12,1.37636062861869,"female","hindu",2,3,5,1,4,2
"127","india-socioling","zenith","Z07B48",7,7,12,1.37636062861869,"female","muslim",2,2,4,3,2,4
"128","india-socioling","zenith","Z07B55",7,7,13,2.37636062861869,"female","muslim",4,3,2,3,1,2
